lga_name,section,area,males,females,persons,persons_per_area,occupied_dwellings,dwellings_per_area,population_per_dwelling,area_unit,source_pdf,source_pdf_sha256,source_page_index,source_pdf_page,source_printed_page,source_table_number_printed,source_row_number,source_row_y,source_image
Aberdeen,municipality,1491,379,355,734,0.49,142,0.095,5.17,acres,data/raw/abs_1911_census/1911 Census - Volume III - Part XIII Dwellings.pdf,d2a7f6b00a4c9e31c09011e69b09315e47a59f0dadbf6dd275d05fc897cb5db6,182,183,2031,68,1,199.44,output/extract_table68/evidence/pdf_page_183.png
Adamstown,municipality,973,1347,1313,2660,2.73,597,0.614,4.46,acres,data/raw/abs_1911_census/1911 Census - Volume III - Part XIII Dwellings.pdf,d2a7f6b00a4c9e31c09011e69b09315e47a59f0dadbf6dd275d05fc897cb5db6,182,183,2031,68,2,207.6,output/extract_table68/evidence/pdf_page_183.png
Albury,municipality,18460,3052,3257,6309,0.34,1328,0.072,4.75,acres,data/raw/abs_1911_census/1911 Census - Volume III - Part XIII Dwellings.pdf,d2a7f6b00a4c9e31c09011e69b09315e47a59f0dadbf6dd275d05fc897cb5db6,182,183,2031,68,3,215.52,output/extract_table68/evidence/pdf_page_183.png
Alexandria,municipality,1024,5260,4863,10123,9.89,2244,2.191,4.51,acres,data/raw/abs_1911_census/1911 Census - Volume III - Part XIII Dwellings.pdf,d2a7f6b00a4c9e31c09011e69b09315e47a59f0dadbf6dd275d05fc897cb5db6,182,183,2031,68,4,223.44,output/extract_table68/evidence/pdf_page_183.png
Annandale,municipality,360,5413,5827,11240,31.22,2363,6.564,4.76,acres,data/raw/abs_1911_census/1911 Census - Volume III - Part XIII Dwellings.pdf,d2a7f6b00a4c9e31c09011e69b09315e47a59f0dadbf6dd275d05fc897cb5db6,182,183,2031,68,5,231.6,output/extract_table68/evidence/pdf_page_183.png
Armidale,municipality,2080,2290,2448,4738,2.28,853,0.410,5.55,acres,data/raw/abs_1911_census/1911 Census - Volume III - Part XIII Dwellings.pdf,d2a7f6b00a4c9e31c09011e69b09315e47a59f0dadbf6dd275d05fc897cb5db6,182,183,2031,68,6,247.69,output/extract_table68/evidence/pdf_page_183.png
Ashfield,municipality,2081,9212,11219,20431,9.82,4189,2.013,4.88,acres,data/raw/abs_1911_census/1911 Census - Volume III - Part XIII Dwellings.pdf,d2a7f6b00a4c9e31c09011e69b09315e47a59f0dadbf6dd275d05fc897cb5db6,182,183,2031,68,7,255.6,output/extract_table68/evidence/pdf_page_183.png
Auburn,municipality,2688,2757,2802,5559,2.07,1161,0.432,4.79,acres,data/raw/abs_1911_census/1911 Census - Volume III - Part XIII Dwellings.pdf,d2a7f6b00a4c9e31c09011e69b09315e47a59f0dadbf6dd275d05fc897cb5db6,182,183,2031,68,8,263.76,output/extract_table68/evidence/pdf_page_183.png
Ballina,municipality,5760,1022,1039,2061,0.36,402,0.070,5.13,acres,data/raw/abs_1911_census/1911 Census - Volume III - Part XIII Dwellings.pdf,d2a7f6b00a4c9e31c09011e69b09315e47a59f0dadbf6dd275d05fc897cb5db6,182,183,2031,68,9,271.69,output/extract_table68/evidence/pdf_page_183.png
Balmain,municipality,932,15907,16131,32038,34.38,6464,6.936,4.96,acres,data/raw/abs_1911_census/1911 Census - Volume III - Part XIII Dwellings.pdf,d2a7f6b00a4c9e31c09011e69b09315e47a59f0dadbf6dd275d05fc897cb5db6,182,183,2031,68,10,279.84,output/extract_table68/evidence/pdf_page_183.png
