doc_id,model,page_index,pdf_page,printed_page,page_type,has_table,table_count,table_numbers,table_titles,table_subjects,geographies,page_roles,confidence,warnings,error
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,0,1,,title_or_front_matter,False,0,,,,,,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,1,2,2,index,False,0,,,,,,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,2,3,1851,index,False,0,,,,,,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,3,4,1852,index,False,0,,,,,,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,4,5,1853,table,True,2,1 | 2,"Dwellings occupied, unoccupied and being built in the several States and Territories of the Commonwealth of Australia | Metropolitan and extra-metropolitan area, population, density, etc., of the several States and Territories of the Commonwealth",Dwellings | Population and Dwellings,Australia,complete_on_page,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,5,6,6,table,True,2,3 | 4,Occupied Dwellings in the Several States and Territories of the Commonwealth of Australia,Nature of Dwelling | Number of Rooms,Commonwealth of Australia,complete_on_page,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,6,7,1855,table,True,1,4,Occupied dwellings in the several states and territories,Dwellings other than private,Australia (States and Territories),continues,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,7,8,8,table,True,1,5,Occupied dwellings of 20 rooms and upwards in the several states and territories of the Commonwealth of Australia,Number of rooms in occupied dwellings,Australia (States and Territories),complete_on_page,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,8,9,1857,table,True,1,6,OCCUPIED DWELLINGS IN THE SEVERAL STATES AND TERRITORIES OF THE COMMONWEALTH OF AUSTRALIA,Materials of which outer walls were built,Australia (States and Territories),complete_on_page,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,9,10,10,table,True,1,7,OCCUPIED DWELLINGS IN THE SEVERAL STATES AND TERRITORIES OF THE COMMONWEALTH OF AUSTRALIA,Private dwellings classified according to weekly rental value,Australia (States and Territories),complete_on_page,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,10,11,1859,table,True,1,7,Occupied dwellings in the several states and territories of the Commonwealth of Australia,Weekly rental value of dwellings other than private,Commonwealth of Australia,continues,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,11,12,1860,table,True,1,7,OCCUPIED DWELLINGS IN THE SEVERAL STATES AND TERRITORIES OF THE COMMONWEALTH,Weekly Rental Value of Occupied Dwellings,Australia (States and Territories),continues,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,12,13,1861,table,True,1,8,INMATES OF DWELLINGS (CLASSIFIED ACCORDING TO NUMBER OF ROOMS) IN THE SEVERAL STATES AND TERRITORIES OF THE COMMONWEALTH OF AUSTRALIA,Inmates of private dwellings by number of rooms,Australia (States and Territories),complete_on_page,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,13,14,1862,table,True,2,8 | 9,INMATES OF DWELLINGS IN THE SEVERAL STATES AND TERRITORIES | INMATES OF DWELLINGS CLASSIFIED ACCORDING TO MATERIALS OF WHICH OUTER WALLS WERE BUILT IN THE SEVERAL STATES AND TERRITORIES OF THE COMMONWEALTH OF AUSTRALIA,Inmates of dwellings by number of rooms | Inmates of private dwellings by material of outer walls,Commonwealth of Australia,continues | starts,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,14,15,1863,table,True,1,9,INMATES OF DWELLINGS IN THE SEVERAL STATES AND TERRITORIES,Inmates of dwellings other than private by material of outer walls,Australian States and Territories,continues,1,,
