doc_id,model,table_key,table_numbers,table_titles,table_subjects,geographies,start_page_index,end_page_index,pdf_pages,printed_pages,page_count,page_roles,confidence_min,confidence_mean,notes,warnings
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,table_1,1,"Dwellings occupied, unoccupied and being built in the several States and Territories of the Commonwealth of Australia",Dwellings,Australia,4,4,5,1853,1,complete_on_page,1,1,Information incomplete owing to defective collection in certain cases.,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,table_2,2,"Metropolitan and extra-metropolitan area, population, density, etc., of the several States and Territories of the Commonwealth",Population and Dwellings,Australia,4,4,5,1853,1,complete_on_page,1,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,table_3,3,Occupied Dwellings in the Several States and Territories of the Commonwealth of Australia,Nature of Dwelling,Commonwealth of Australia,5,5,6,6,1,complete_on_page,1,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,table_4,4,Occupied Dwellings in the Several States and Territories of the Commonwealth of Australia | Occupied dwellings in the several states and territories,Number of Rooms | Dwellings other than private,Commonwealth of Australia | Australia (States and Territories),5,6,6 | 7,6 | 1855,2,complete_on_page | continues,1,1,The page contains two distinct sections under Table 4: 'Dwellings other than private' and 'All dwellings'.,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,table_5,5,Occupied dwellings of 20 rooms and upwards in the several states and territories of the Commonwealth of Australia,Number of rooms in occupied dwellings,Australia (States and Territories),7,7,8,8,1,complete_on_page,1,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,table_6,6,OCCUPIED DWELLINGS IN THE SEVERAL STATES AND TERRITORIES OF THE COMMONWEALTH OF AUSTRALIA,Materials of which outer walls were built,Australia (States and Territories),8,8,9,1857,1,complete_on_page,1,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,table_7,7,OCCUPIED DWELLINGS IN THE SEVERAL STATES AND TERRITORIES OF THE COMMONWEALTH OF AUSTRALIA | Occupied dwellings in the several states and territories of the Commonwealth of Australia | OCCUPIED DWELLINGS IN THE SEVERAL STATES AND TERRITORIES OF THE COMMONWEALTH,Private dwellings classified according to weekly rental value | Weekly rental value of dwellings other than private | Weekly Rental Value of Occupied Dwellings,Australia (States and Territories) | Commonwealth of Australia,9,11,10 | 11 | 12,10 | 1859 | 1860,3,complete_on_page | continues,1,1,"Excludes dwellings occupied solely by full-blooded Aboriginals. | Table 7 continued from previous page. | This page is a continuation of Table 7, showing rental values for all dwellings.",
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,table_8,8,INMATES OF DWELLINGS (CLASSIFIED ACCORDING TO NUMBER OF ROOMS) IN THE SEVERAL STATES AND TERRITORIES OF THE COMMONWEALTH OF AUSTRALIA | INMATES OF DWELLINGS IN THE SEVERAL STATES AND TERRITORIES,Inmates of private dwellings by number of rooms | Inmates of dwellings by number of rooms,Australia (States and Territories) | Commonwealth of Australia,12,13,13 | 14,1861 | 1862,2,complete_on_page | continues,1,1,The table contains two distinct sections: private dwellings and dwellings other than private. | Table 8 is continued from previous page.,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,table_9,9,INMATES OF DWELLINGS CLASSIFIED ACCORDING TO MATERIALS OF WHICH OUTER WALLS WERE BUILT IN THE SEVERAL STATES AND TERRITORIES OF THE COMMONWEALTH OF AUSTRALIA | INMATES OF DWELLINGS IN THE SEVERAL STATES AND TERRITORIES,Inmates of private dwellings by material of outer walls | Inmates of dwellings other than private by material of outer walls,Commonwealth of Australia | Australian States and Territories,13,14,14 | 15,1862 | 1863,2,starts | continues,1,1,The page contains two distinct sub-tables under the umbrella of Table 9: 'Inmates of dwellings other than private' and 'Inmates of all dwellings'.,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,table_10,10,OCCUPIED DWELLINGS IN THE,Number of dwellings containing rooms to the number of 1 to 11,Commonwealth of Australia,15,15,16,16,1,complete_on_page,1,1,"Table title is incomplete in text, likely 'Occupied Dwellings in the Commonwealth'",
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,table_11,11,OCCUPIED DWELLINGS IN THE SEVERAL STATES AND | Occupied dwellings in the several states | Number of Dwellings containing rooms to the number of | OCCUPIED DWELLINGS IN THE SEVERAL STATES | NUMBER OF DWELLINGS CONTAINING ROOMS TO THE NUMBER OF,Number of dwellings containing rooms to the number of 1 to 11 | Dwellings by number of rooms and nature of dwelling,"New South Wales | Victoria, Queensland, South Australia | Western Australia, Tasmania, Northern Territory, Federal Territory",15,20,16 | 18 | 19 | 20 | 21,16 | 1866 | 1867 | 1868 | 1869,5,starts | complete_on_page | continues,1,1,"Table 11 continues on subsequent pages. | The table displays data for three states (Victoria, Queensland, South Australia) in separate sub-sections. | The table is a continuation from previous pages. It lists dwellings by room count for three states. | This page continues Table 11, showing data for Western Australia, Tasmania, Northern Territory, and Federal Territory. | This page is a continuation of a table detailing dwellings by number of rooms. It lists data for four specific territories/states.",
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,title_commonwealth_of_australia__to_nature_of_dwelling_and_number_of_rooms_by_full_blo,,"COMMONWEALTH OF AUSTRALIA, to Nature of Dwelling and Number of Rooms by Full-blooded Aboriginals.",Number of dwellings by number of rooms and nature of dwelling,Commonwealth of Australia,16,16,17,1865,1,complete_on_page,1,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,title_territories_of_the_commonwealth_of_australia_to_nature_of_dwelling_and_number_of,,TERRITORIES OF THE COMMONWEALTH OF AUSTRALIA to Nature of Dwelling and Number of Rooms by Full-blooded Aboriginals. I.—NEW SOUTH WALES.,Number of dwellings by number of rooms and nature of dwelling,New South Wales,16,16,17,1865,1,complete_on_page,1,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,table_12,12,"Occupied Dwellings in the Commonwealth of Australia, at the Census of 3rd April, 1911, Classified according to Materials",Occupied dwellings by materials of outer walls and number of rooms,Commonwealth of Australia,21,21,22,22,1,complete_on_page,1,1,"The table is divided into three sections: Private Dwellings, Dwellings other than private, and All dwellings.",
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,title_commonwealth_of_australia__of_which_outer_walls_were_built_and_number_of_rooms_b,,"COMMONWEALTH OF AUSTRALIA, of which Outer Walls were built and Number of Rooms by Full-blooded Aboriginals.",Dwellings by number of rooms and materials of outer walls,Commonwealth of Australia,22,22,23,1871,1,complete_on_page,1,1,The table is presented in three sections based on dwelling type.,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,table_13,13,"Occupied Dwellings in the Commonwealth of Australia, 1911, Classified according to Materials","Number of dwellings containing rooms to the number of 1 to 11, by material of outer walls",Commonwealth of Australia,23,23,24,1872,1,complete_on_page,1,1,"The table title is explicitly '13.—OCCUPIED DWELLINGS IN THE... At the Census of 3rd April, 1911, Classified according to Materials (Exclusive of Dwellings occupied solely)'",
