doc_id,model,table_number,index_title,index_start_printed_page,index_subentries,warnings
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.5-flash,1,"Dwellings Occupied, Unoccupied and Being Built in the several States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911",1853,[],
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.5-flash,2,"Metropolitan and Extra-Metropolitan Area, Population, Density, etc., in the several States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911",1853,[],
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.5-flash,3,"Occupied Dwellings in the several States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Nature of Dwelling",1854,[],
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.5-flash,4,"Occupied Dwellings in the several States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Number of Rooms",1854,[],
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.5-flash,5,"Occupied Dwellings of 20 rooms and upwards in the several States and Territories of the Commonwealth of Australia at the Census of 3rd April, 1911",1856,[],
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.5-flash,6,"Occupied Dwellings in the several States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Materials of which outer walls were built",1857,[],
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.5-flash,7,"Occupied Dwellings in the several States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Weekly Rental Value",1858,[],
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.5-flash,8,"Inmates of Dwellings (classified according to Number of Rooms) in the several States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911",1861,[],
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.5-flash,9,"Inmates of Dwellings (classified according to Materials of which outer walls were built) in the several States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911",1862,[],
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.5-flash,10,"Occupied Dwellings in the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Nature of Dwelling and Number of Rooms",1864,[],
