doc_id,file_name,title,local_path,page_count,page_index,pdf_page,printed_page,page_type,is_contents_or_index,contains_numbered_table_list,contains_page_reference_column,is_table_page,likely_continues_contents,confidence,reason,warnings,error
1911_census_index_to_volumes_ii_and_iii,1911 Census - Index to Volumes II and III.pdf,2112.0 - Index to Volumes II and III,data\raw\abs_1911_census\1911 Census - Index to Volumes II and III.pdf,4,0,1,1,index,True,False,True,False,False,1,The page is explicitly titled 'INDEX TO VOLUMES II. AND III.' and contains a list of topics with corresponding page references.,,
1911_census_index_to_volumes_ii_and_iii,1911 Census - Index to Volumes II and III.pdf,2112.0 - Index to Volumes II and III,data\raw\abs_1911_census\1911 Census - Index to Volumes II and III.pdf,4,1,2,2294,index,True,False,True,False,True,1,"The page is clearly an index page, indicated by the title 'INDEX TO VOLUMES II. AND III.' and the presence of alphabetical entries with corresponding page references.",,
1911_census_index_to_volumes_ii_and_iii,1911 Census - Index to Volumes II and III.pdf,2112.0 - Index to Volumes II and III,data\raw\abs_1911_census\1911 Census - Index to Volumes II and III.pdf,4,2,3,2295,index,True,False,True,False,True,1,The page is an alphabetical index listing topics and their corresponding page numbers.,,
1911_census_index_to_volumes_ii_and_iii,1911 Census - Index to Volumes II and III.pdf,2112.0 - Index to Volumes II and III,data\raw\abs_1911_census\1911 Census - Index to Volumes II and III.pdf,4,3,4,2296,index,True,False,True,False,True,1,"The page is an alphabetical index with page references, clearly indicated by the header 'INDEX TO VOLUMES II AND III'.",,
1911_census_volume_ii_detailed_tables_index_parts_i_viii,1911 Census - Volume II Detailed Tables Index Parts I - VIII.pdf,2112.0 - Volume II - Detailed Tables Index - Parts I - VIII,data\raw\abs_1911_census\1911 Census - Volume II Detailed Tables Index Parts I - VIII.pdf,4,0,1,,title_page,False,False,False,False,False,1,"The page is clearly a title page for the 1911 Census Volume II, containing the title, volume information, and publication authority.",,
1911_census_volume_ii_detailed_tables_index_parts_i_viii,1911 Census - Volume II Detailed Tables Index Parts I - VIII.pdf,2112.0 - Volume II - Detailed Tables Index - Parts I - VIII,data\raw\abs_1911_census\1911 Census - Volume II Detailed Tables Index Parts I - VIII.pdf,4,1,2,152,text,False,False,True,False,False,0.9,"The page is a 'Corrigenda' (errata) page, which lists corrections to previous pages. While it contains page references, it is not a table of contents or index of the document itself.",,
1911_census_volume_ii_detailed_tables_index_parts_i_viii,1911 Census - Volume II Detailed Tables Index Parts I - VIII.pdf,2112.0 - Volume II - Detailed Tables Index - Parts I - VIII,data\raw\abs_1911_census\1911 Census - Volume II Detailed Tables Index Parts I - VIII.pdf,4,2,3,,text,False,False,False,False,False,1,"The page is a preface containing introductory text describing the publication, not a table or index.",,
1911_census_volume_ii_detailed_tables_index_parts_i_viii,1911 Census - Volume II Detailed Tables Index Parts I - VIII.pdf,2112.0 - Volume II - Detailed Tables Index - Parts I - VIII,data\raw\abs_1911_census\1911 Census - Volume II Detailed Tables Index Parts I - VIII.pdf,4,3,4,,contents,True,False,True,False,False,1,The page is explicitly titled 'CONTENTS OF VOLUME II' and 'CONTENTS OF VOLUME III' and lists sections with corresponding page ranges.,,
1911_census_volume_ii_part_i_ages,1911 Census - Volume II - Part I Ages.pdf,2112.0 - Volume II - Part I Ages,data\raw\abs_1911_census\1911 Census - Volume II - Part I Ages.pdf,104,0,1,,title_page,False,False,False,False,False,1,"The page is clearly a title page for the 1911 Census publication, containing the title, date, part number, and author information.",,
1911_census_volume_ii_part_i_ages,1911 Census - Volume II - Part I Ages.pdf,2112.0 - Volume II - Part I Ages,data\raw\abs_1911_census\1911 Census - Volume II - Part I Ages.pdf,104,1,2,,blank,False,False,False,False,False,1,The page is completely blank.,,
1911_census_volume_ii_part_i_ages,1911 Census - Volume II - Part I Ages.pdf,2112.0 - Volume II - Part I Ages,data\raw\abs_1911_census\1911 Census - Volume II - Part I Ages.pdf,104,2,3,3,contents,True,True,True,False,False,1,The page is explicitly titled 'CONTENTS' and lists numbered tables with corresponding page references.,,
