doc_id,file_name,title,local_path,page_count,scanned_pages,contents_page_indexes,contents_pdf_pages,contents_page_count,contents_confidence_min,contents_confidence_mean,page_types_seen,errors,needs_review
1911_census_index_to_volumes_ii_and_iii,1911 Census - Index to Volumes II and III.pdf,2112.0 - Index to Volumes II and III,data\raw\abs_1911_census\1911 Census - Index to Volumes II and III.pdf,4,4,0 | 1 | 2 | 3,1 | 2 | 3 | 4,4,1.0,1.0,index,0,False
1911_census_volume_ii_part_i_ages,1911 Census - Volume II - Part I Ages.pdf,2112.0 - Volume II - Part I Ages,data\raw\abs_1911_census\1911 Census - Volume II - Part I Ages.pdf,104,10,2 | 3,3 | 4,2,1.0,1.0,blank | contents | table | title_page,0,False
1911_census_volume_ii_part_ii_birthplaces,1911 Census - Volume II - Part II Birthplaces.pdf,2112.0 - Volume II - Part II Birthplaces,data\raw\abs_1911_census\1911 Census - Volume II - Part II Birthplaces.pdf,282,10,1 | 2 | 3,2 | 3 | 4,3,1.0,1.0,contents | table | title_page,0,False
1911_census_volume_ii_part_iii_length_of_residence,1911 Census - Volume II - Part III Length of Residence.pdf,2112.0 - Volume II - Part III Length of Residence,data\raw\abs_1911_census\1911 Census - Volume II - Part III Length of Residence.pdf,54,10,2,3,1,1.0,1.0,blank | contents | table | title_page,0,False
1911_census_volume_ii_part_iv_education,1911 Census - Volume II - Part IV Education.pdf,2112.0 - Volume II - Part IV Education,data\raw\abs_1911_census\1911 Census - Volume II - Part IV Education.pdf,182,10,1,2,1,1.0,1.0,contents | table | title_page,0,False
1911_census_volume_ii_part_v_schooling,1911 Census - Volume II - Part V Schooling.pdf,2112.0 - Volume II - Part V Schooling,data\raw\abs_1911_census\1911 Census - Volume II - Part V Schooling.pdf,124,10,1,2,1,1.0,1.0,contents | table | title_page,0,False
1911_census_volume_ii_part_vi_religions,1911 Census - Volume II - Part VI Religions.pdf,2112.0 - Volume II - Part VI Religions,data\raw\abs_1911_census\1911 Census - Volume II - Part VI Religions.pdf,119,10,2 | 3,3 | 4,2,1.0,1.0,blank | contents | table | title_page,0,False
1911_census_volume_ii_part_vii_blindness_and_deaf_mutism,1911 Census - Volume II - Part VII Blindness and Deaf Mutism.pdf,2112.0 - Volume II - Part VII Blindness and Deaf Mutism,data\raw\abs_1911_census\1911 Census - Volume II - Part VII Blindness and Deaf Mutism.pdf,32,10,1,2,1,1.0,1.0,contents | table | title_page,0,False
1911_census_volume_ii_part_viii_non_european_races,1911 Census - Volume II - Part VIII Non-European Races.pdf,2112.0 - Volume II - Part VIII Non-European Races,data\raw\abs_1911_census\1911 Census - Volume II - Part VIII Non-European Races.pdf,177,10,2 | 3 | 4 | 5,3 | 4 | 5 | 6,4,1.0,1.0,blank | contents | table | title_page,0,False
1911_census_volume_ii_detailed_tables_index_parts_i_viii,1911 Census - Volume II Detailed Tables Index Parts I - VIII.pdf,2112.0 - Volume II - Detailed Tables Index - Parts I - VIII,data\raw\abs_1911_census\1911 Census - Volume II Detailed Tables Index Parts I - VIII.pdf,4,4,3,4,1,1.0,1.0,contents | text | title_page,0,False
1911_census_volume_iii_part_ix_conjugal_condition,1911 Census - Volume III - Part IX Conjugal Condition.pdf,2112.0 - Volume III - Part IX Conjugal Condition,data\raw\abs_1911_census\1911 Census - Volume III - Part IX Conjugal Condition.pdf,28,10,1,2,1,1.0,1.0,contents | table | title_page,0,False
1911_census_volume_iii_part_x_families,1911 Census - Volume III - Part X Families.pdf,2112.0 - Volume III - Part X Families,data\raw\abs_1911_census\1911 Census - Volume III - Part X Families.pdf,104,10,1 | 2,2 | 3,2,1.0,1.0,contents | table | title_page,0,False
1911_census_volume_iii_part_xi_life_tables,1911 Census - Volume III - Part XI Life Tables.pdf,2112.0 - Volume III - Part XI Life Tables,data\raw\abs_1911_census\1911 Census - Volume III - Part XI Life Tables.pdf,72,10,1,2,1,1.0,1.0,contents | table | title_page,0,False
1911_census_volume_iii_part_xii_occupations,1911 Census - Volume III - Part XII Occupations.pdf,2112.0 - Volume III - Part XII Occupations,data\raw\abs_1911_census\1911 Census - Volume III - Part XII Occupations.pdf,570,10,1 | 2 | 3,2 | 3 | 4,3,1.0,1.0,contents | table | title_page,0,False
1911_census_volume_iii_part_xiii_dwellings,1911 Census - Volume III - Part XIII Dwellings.pdf,2112.0 - Volume III - Part XIII Dwellings,data\raw\abs_1911_census\1911 Census - Volume III - Part XIII Dwellings.pdf,200,10,1 | 2 | 3,2 | 3 | 4,3,1.0,1.0,contents | table | title_page,0,False
1911_census_volume_iii_part_xiv_summary,1911 Census - Volume III - Part XIV Summary.pdf,2112.0 - Volume III - Part XIV Summary,data\raw\abs_1911_census\1911 Census - Volume III - Part XIV Summary.pdf,244,10,1 | 2 | 3 | 4,2 | 3 | 4 | 5,4,1.0,1.0,contents | table | title_page,0,False
1911_census_volume_iii_detailed_tables_index_parts_ix_xiv,1911 Census - Volume III Detailed Tables Index Parts IX - XIV.pdf,2112.0 - Volume III - Detailed Tables Index - Parts IX - XIV,data\raw\abs_1911_census\1911 Census - Volume III Detailed Tables Index Parts IX - XIV.pdf,4,4,3,4,1,1.0,1.0,contents | text | title_page,0,False
