doc_id,pdf_page,page_index,image_path,original_page_role,candidate_table_numbers,original_matched_table_numbers,qa_decision,final_page_role,final_table_numbers,candidate_set_complete,visible_table_numbers,visible_title_snippet,printed_page,issue_type,confidence,needs_human_review,qa_notes,model,cost,error
1911_census_volume_ii_part_ii_birthplaces,31,30,output/diagnostics/flagged_pages/1911_census_volume_ii_part_ii_birthplaces/p0031_role_non_table_cand_13_12_14_match_unknown.png,non_table,13 | 12 | 14,,candidate_set_wrong,continues,,False,1,COMMONWEALTH OF AUSTRALIA classified according to Birthplace and Age,135,candidate_set_wrong,1.0,True,"The page contains Table 1 (Birthplaces classified according to Birthplace and Age), which is not in the candidate list (12, 13, 14). The candidate set is wrong/insufficient.",google/gemini-3.5-flash,0.0044265,
1911_census_volume_ii_part_ii_birthplaces,49,48,output/diagnostics/flagged_pages/1911_census_volume_ii_part_ii_birthplaces/p0049_role_non_table_cand_22_21_23_match_unknown.png,non_table,22 | 21 | 23,,candidate_set_wrong,continues,,False,24,OF THE STATE OF QUEENSLAND classified according to Birthplace and Age,153,candidate_set_wrong,0.9,True,"The page contains the continuation of the Queensland birthplace table (Table 24). The candidate set (21, 22, 23) contains the tables for Victoria (Table 22) and Queensland's first part (Table 23, which starts on page 150). This page (153) is the second part of the Queensland table, which is Table 24. Since Table 24 is not in the candidate set, it is flagged as candidate_set_wrong.",google/gemini-3.5-flash,0.0050205,
1911_census_volume_ii_part_ii_birthplaces,61,60,output/diagnostics/flagged_pages/1911_census_volume_ii_part_ii_birthplaces/p0061_role_non_table_cand_28_27_29_match_unknown.png,non_table,28 | 27 | 29,,candidate_set_wrong,complete_on_page,,False,28,STATE OF WESTERN AUSTRALIA classified according to Birthplace and Age,165,candidate_set_wrong,1.0,True,"The page contains Table 28 (Western Australia - Birthplace and Age, second page/part or complete on page for these age groups). The candidate set contains 28, but since the prior model flagged it as incorrect/insufficient or it needs verification against the full table structure, and the candidate set is incomplete/wrong for the full sequence of Western Australia tables (which usually span multiple pages), human review is required to confirm the correct table number mapping.",google/gemini-3.5-flash,0.0048855,
1911_census_volume_ii_part_ii_birthplaces,73,72,output/diagnostics/flagged_pages/1911_census_volume_ii_part_ii_birthplaces/p0073_role_non_table_cand_34_33_35_match_unknown.png,non_table,34 | 33 | 35,,candidate_set_wrong,continues,,False,36,THE NORTHERN TERRITORY classified according to Birthplace and Age,177,candidate_set_wrong,0.9,True,"The page contains the continuation of Table 36 (Northern Territory classified according to Birthplace and Age), but the candidate set only includes 33, 34, and 35. Therefore, the candidate set is wrong and incomplete.",google/gemini-3.5-flash,0.004464,
1911_census_volume_ii_part_ii_birthplaces,97,96,output/diagnostics/flagged_pages/1911_census_volume_ii_part_ii_birthplaces/p0097_role_non_table_cand_46_45_47_match_unknown.png,non_table,46 | 45 | 47,,candidate_set_wrong,complete_on_page,,False,45 | 46 | 47,"THE STATE OF VICTORIA Nationality, Length of Residence, Education, and Conjugal Condition",201,candidate_set_wrong,0.9,True,"The page contains a large table for Victoria (Education and Conjugal Condition by Birthplace). The candidate table numbers (45, 46, 47) correspond to the Birthplaces tables, but this specific page is likely Table 46 (or part of it). However, without the correct mapping confirmed in the candidate set, and given the prior model warning that the candidates are insufficient/incorrect for this specific page's layout, it needs human review to verify the exact table number mapping for Victoria's detailed birthplace tables.",google/gemini-3.5-flash,0.005217,
1911_census_volume_ii_part_ii_birthplaces,103,102,output/diagnostics/flagged_pages/1911_census_volume_ii_part_ii_birthplaces/p0103_role_non_table_cand_49_48_50_match_unknown.png,non_table,49 | 48 | 50,,candidate_set_wrong,continues,,False,4,"THE STATE OF QUEENSLAND Nationality, Length of Residence, Education, and Conjugal Condition",207,candidate_set_wrong,0.9,True,"The page contains Table 4 (Birthplaces - Queensland: Nationality, Length of Residence, Education, and Conjugal Condition) continued on page 207. The candidate set (48, 49, 50) is incorrect for this section of the 1911 census volume.",google/gemini-3.5-flash,0.00468,
1911_census_volume_ii_part_ii_birthplaces,109,108,output/diagnostics/flagged_pages/1911_census_volume_ii_part_ii_birthplaces/p0109_role_non_table_cand_52_51_53_match_unknown.png,non_table,52 | 51 | 53,,candidate_set_wrong,complete_on_page,,False,11,"STATE OF SOUTH AUSTRALIA Nationality, Length of Residence, Education, and Conjugal Condition",213,candidate_set_wrong,0.9,True,"The page contains Table 11 (State of South Australia: Birthplaces - Nationality, Length of Residence, Education, and Conjugal Condition) as indicated by the page number 213 and the sequence of tables in this part. The candidate set (51, 52, 53) is incorrect for this page.",google/gemini-3.5-flash,0.004752,
1911_census_volume_ii_part_ii_birthplaces,115,114,output/diagnostics/flagged_pages/1911_census_volume_ii_part_ii_birthplaces/p0115_role_non_table_cand_55_54_56_match_unknown.png,non_table,55 | 54 | 56,,candidate_set_wrong,continues,,False,55,"STATE OF WESTERN AUSTRALIA Nationality, Length of Residence, Education, and Conjugal Condition",219,candidate_set_wrong,0.9,True,"The page contains Table 55 (State of Western Australia - Birthplaces: Nationality, Length of Residence, Education, and Conjugal Condition). The candidate set includes 55, but the prior model flagged it as non_table and the candidate set is incomplete/wrong because it does not cover the full span of this large multi-page table structure properly, or the prior model was confused by the row numbers 1-75. Table 55 is indeed the correct table number for Western Australia in this section.",google/gemini-3.5-flash,0.005016,
1911_census_volume_ii_part_ii_birthplaces,121,120,output/diagnostics/flagged_pages/1911_census_volume_ii_part_ii_birthplaces/p0121_role_non_table_cand_58_57_59_match_unknown.png,non_table,58 | 57 | 59,,candidate_set_wrong,complete_on_page,,False,13,"THE STATE OF TASMANIA Nationality, Length of Residence, Education, and Conjugal Condition",225,candidate_set_wrong,0.9,True,"The page contains Table 13 (Tasmania - Birthplaces: Nationality, Length of Residence, Education, and Conjugal Condition) on printed page 225. The candidate set (57, 58, 59) is incorrect as it belongs to a different section or state.",google/gemini-3.5-flash,0.004713,
1911_census_volume_ii_part_ii_birthplaces,127,126,output/diagnostics/flagged_pages/1911_census_volume_ii_part_ii_birthplaces/p0127_role_non_table_cand_61_60_62_match_unknown.png,non_table,61 | 60 | 62,,candidate_set_wrong,complete_on_page,,False,,"THE NORTHERN TERRITORY Nationality, Length of Residence, Education, and Conjugal Condition",231,candidate_set_wrong,0.9,True,"The page contains a table for the Northern Territory (Birthplaces) with columns for Education and Conjugal Condition. It does not have an explicit table number printed on it, but it is part of the Birthplaces section. The candidate table numbers (60, 61, 62) do not match this table, which is likely an unnumbered summary or a specific territory table not covered by the candidates.",google/gemini-3.5-flash,0.004821,
