doc_id,pdf_page,candidates,gpt55_verdict,final_table_numbers,needs_human_review,evidence_notes
1911_census_volume_ii_part_ii_birthplaces,31,13 | 12 | 14,assign_to_candidate,13,false,"Commonwealth birthplace/age table; Birth-place No. values are row/category IDs, not table numbers."
1911_census_volume_ii_part_ii_birthplaces,49,22 | 21 | 23,assign_to_candidate,22,false,"Queensland birthplace/age table; Birth-place No. values are row/category IDs."
1911_census_volume_ii_part_ii_birthplaces,61,28 | 27 | 29,assign_to_candidate,28,false,"Western Australia birthplace/age table; Birth-place No. values are row/category IDs."
1911_census_volume_ii_part_ii_birthplaces,73,34 | 33 | 35,assign_to_candidate,34,false,"Northern Territory birthplace/age table; Birth-place No. values are row/category IDs."
1911_census_volume_ii_part_ii_birthplaces,97,46 | 45 | 47,assign_to_candidate,46,false,"Victoria nationality/residence/education/conjugal-condition table; Birth-place No. is not table-number evidence."
1911_census_volume_ii_part_ii_birthplaces,103,49 | 48 | 50,assign_to_candidate,49,false,"Queensland nationality/residence/education/conjugal-condition table."
1911_census_volume_ii_part_ii_birthplaces,109,52 | 51 | 53,assign_to_candidate,52,false,"South Australia nationality/residence/education/conjugal-condition table."
1911_census_volume_ii_part_ii_birthplaces,115,55 | 54 | 56,assign_to_candidate,55,false,"Western Australia nationality/residence/education/conjugal-condition table."
1911_census_volume_ii_part_ii_birthplaces,121,58 | 57 | 59,assign_to_candidate,58,false,"Tasmania nationality/residence/education/conjugal-condition table."
1911_census_volume_ii_part_ii_birthplaces,127,61 | 60 | 62,assign_to_candidate,61,false,"Northern Territory nationality/residence/education/conjugal-condition table."
1911_census_volume_ii_part_ii_birthplaces,145,70 | 69 | 71,assign_to_candidate,70,false,"New South Wales birthplace/religion table."
1911_census_volume_ii_part_ii_birthplaces,163,79 | 78 | 80,assign_to_candidate,79,false,"South Australia birthplace/religion table."
1911_census_volume_ii_part_ii_birthplaces,169,82 | 81 | 83,assign_to_candidate,82,false,"Western Australia birthplace/religion table."
1911_census_volume_ii_part_ii_birthplaces,181,88 | 87 | 89,assign_to_candidate,88,false,"Northern Territory birthplace/religion table."
1911_census_volume_ii_part_ii_birthplaces,187,91 | 90 | 92,assign_to_candidate,91,false,"Federal Capital Territory birthplace/religion table."
1911_census_volume_ii_part_viii_non_european_races,57,45 | 44 | 46,assign_from_candidates,44 | 45,false,"Two table blocks: continuation of European Race Enumerated and start of European Race Enumerated nationality/residence/education/conjugal-condition."
1911_census_volume_ii_part_viii_non_european_races,101,77 | 76 | 78,assign_from_candidates,77,false,"Continuation of race by birthplace/race half-caste table; birthplace numbers are row codes, not table numbers."
1911_census_volume_ii_part_viii_non_european_races,103,78 | 77 | 79,assign_from_candidates,78,false,"Continuation of race by birthplace/race half-caste table; row codes are not table numbers."
1911_census_volume_ii_part_viii_non_european_races,105,79 | 78 | 80,assign_from_candidates,79,false,"Continuation of race by birthplace/race half-caste table; no visible evidence for an out-of-candidate table."
1911_census_volume_ii_part_viii_non_european_races,113,83 | 82 | 84,assign_from_candidates,83 | 84,false,"Two table blocks under birthplace/race; candidates include both likely table numbers."
1911_census_volume_ii_part_viii_non_european_races,157,102 | 101 | 103,assign_from_candidates,102,false,"Continuation of occupation/race half-caste table; occupation order numbers are row/category codes."
1911_census_volume_iii_part_xii_occupations,363,35 | 34 | 36,correct_match_from_candidates,36,true,"Northern Territory occupation/grade/age table; no printed table number visible, but 36 fits nearby candidates."
1911_census_volume_iii_part_xii_occupations,411,51 | 50 | 52,correct_match_from_candidates,51,true,"Melbourne and Suburbs occupation/age table; no printed table number visible, but 51 fits candidates."
1911_census_volume_iii_part_xii_occupations,423,57 | 56 | 58,correct_match_from_candidates,57,true,"Adelaide and Suburbs occupation/age table; no visible evidence for Gemini's out-of-candidate Table 18 claim."
1911_census_volume_iii_part_xii_occupations,429,60 | 59 | 61,correct_match_from_candidates,60,true,"Perth and Suburbs occupation/age table; no visible evidence for Gemini's out-of-candidate Table 62 claim."
1911_census_volume_iii_part_xii_occupations,431,61 | 60 | 62,correct_match_from_candidates,61,true,"Perth and Suburbs occupation/grade/age females table; likely current candidate 61, but no printed table number visible."
1911_census_volume_iii_part_xii_occupations,435,63 | 62 | 64,correct_match_from_candidates,63,true,"Hobart and Suburbs occupation/age table; likely current candidate 63, but no printed table number visible."
1911_census_volume_iii_part_xiii_dwellings,57,31 | 30 | 32,candidate_set_wrong,,true,"Page appears to be NSW dwellings by rooms/inmates and aligns with out-of-candidate Table 33, not candidates 30-32."
1911_census_volume_iii_part_xiii_dwellings,186,68 | 67,candidate_set_wrong,,true,"Page visibly headed 69.-AREA, POPULATION, DENSITY, OCCUPIED DWELLINGS, ETC., IN EACH LOCAL GOVERNMENT AREA--continued; conflicts with contents-derived index ending at 68."
1911_census_volume_iii_part_xiv_summary,132,107 | 106 | 108,assign_from_candidates,106 | 107,false,"Page visibly contains Table 106 continued and starts Table 107; both are in candidates."
1911_census_volume_iii_part_xiv_summary,141,111 | 110 | 112,assign_from_candidates,111,false,"Age and Occupation continuation; candidate 111 matches and no contrary visible table number."
