doc_id,pdf_page,page_index,image_path,original_page_role,candidate_table_numbers,original_matched_table_numbers,qa_decision,final_page_role,final_table_numbers,candidate_set_complete,visible_table_numbers,visible_title_snippet,printed_page,issue_type,confidence,needs_human_review,qa_notes,model,cost,error
1911_census_volume_ii_part_ii_birthplaces,31,30,output/diagnostics/flagged_pages/1911_census_volume_ii_part_ii_birthplaces/p0031_role_non_table_cand_13_12_14_match_unknown.png,non_table,13 | 12 | 14,,candidate_set_wrong,complete_on_page,,False,1,COMMONWEALTH OF AUSTRALIA classified according to Birthplace and Age,135,candidate_set_wrong,1.0,True,"The page contains Table 1, which is not in the provided candidate list (12, 13, 14). The candidate set is insufficient.",google/gemini-3.1-flash-lite,0.00072,
1911_census_volume_ii_part_ii_birthplaces,49,48,output/diagnostics/flagged_pages/1911_census_volume_ii_part_ii_birthplaces/p0049_role_non_table_cand_22_21_23_match_unknown.png,non_table,22 | 21 | 23,,candidate_set_wrong,complete_on_page,,False,,OF THE STATE OF QUEENSLAND classified according to Birthplace and Age,153,candidate_set_wrong,1,True,"The page contains a large, complete table for Queensland. The provided candidate set (21, 22, 23) does not include the correct table number for this data.",google/gemini-3.1-flash-lite,0.000715,
1911_census_volume_ii_part_ii_birthplaces,61,60,output/diagnostics/flagged_pages/1911_census_volume_ii_part_ii_birthplaces/p0061_role_non_table_cand_28_27_29_match_unknown.png,non_table,28 | 27 | 29,,candidate_set_wrong,complete_on_page,,False,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 18 | 19 | 20 | 21 | 22 | 23 | 24 | 25 | 26 | 27 | 28 | 29 | 30 | 31 | 32 | 33 | 34 | 35 | 36 | 37 | 38 | 39 | 40 | 41 | 42 | 43 | 44 | 45 | 46 | 47 | 48 | 49 | 50 | 51 | 52 | 53 | 54 | 55 | 56 | 57 | 58 | 59 | 60 | 61 | 62 | 63 | 64 | 65 | 66 | 67 | 68 | 69 | 70 | 71 | 72 | 73 | 74 | 75,STATE OF WESTERN AUSTRALIA classified according to Birthplace and Age,165,candidate_set_wrong,1,True,"The page contains a comprehensive table for Western Australia (Birthplace and Age) with rows numbered 1-75. The provided candidate set (27, 28, 29) is incorrect and insufficient.",google/gemini-3.1-flash-lite,0.001385,
1911_census_volume_ii_part_ii_birthplaces,73,72,output/diagnostics/flagged_pages/1911_census_volume_ii_part_ii_birthplaces/p0073_role_non_table_cand_34_33_35_match_unknown.png,non_table,34 | 33 | 35,,candidate_set_wrong,complete_on_page,,False,,THE NORTHERN TERRITORY classified according to Birthplace and Age,177,candidate_set_wrong,1.0,True,"The page contains a table for the Northern Territory, but the provided candidate set (33, 34, 35) does not include the table number for this specific dataset. The table is clearly present but cannot be assigned to the provided candidates.",google/gemini-3.1-flash-lite,0.000739,
1911_census_volume_ii_part_ii_birthplaces,97,96,output/diagnostics/flagged_pages/1911_census_volume_ii_part_ii_birthplaces/p0097_role_non_table_cand_46_45_47_match_unknown.png,non_table,46 | 45 | 47,,candidate_set_wrong,complete_on_page,,False,44 | 45 | 46 | 47 | 48 | 49 | 50 | 51 | 52 | 53 | 54 | 55 | 56 | 57 | 58 | 59 | 60 | 61 | 62 | 63 | 64 | 65 | 66 | 67 | 68 | 69 | 70 | 71 | 72 | 73 | 74 | 75,"THE STATE OF VICTORIA Nationality, Length of Residence, Education, and Conjugal Condition",201,candidate_set_wrong,1,True,"The page contains a large table for the State of Victoria with rows numbered 1 through 75. The provided candidate table numbers (45, 46, 47) are insufficient and incorrect for this page.",google/gemini-3.1-flash-lite,0.00102,
1911_census_volume_ii_part_ii_birthplaces,103,102,output/diagnostics/flagged_pages/1911_census_volume_ii_part_ii_birthplaces/p0103_role_non_table_cand_49_48_50_match_unknown.png,non_table,49 | 48 | 50,,candidate_set_wrong,complete_on_page,,False,,"THE STATE OF QUEENSLAND Nationality, Length of Residence, Education, and Conjugal Condition",207,candidate_set_wrong,1,True,"The page contains a comprehensive table for Queensland, but the provided candidate table numbers (48, 49, 50) do not match the content of this page. The table on this page is a single, large, multi-part table covering birthplaces in Queensland.",google/gemini-3.1-flash-lite,0.00074825,
1911_census_volume_ii_part_ii_birthplaces,109,108,output/diagnostics/flagged_pages/1911_census_volume_ii_part_ii_birthplaces/p0109_role_non_table_cand_52_51_53_match_unknown.png,non_table,52 | 51 | 53,,candidate_set_wrong,continues,,False,,"STATE OF SOUTH AUSTRALIA Nationality, Length of Residence, Education, and Conjugal Condition",213,candidate_set_wrong,1,True,"The page contains a table for South Australia (Nationality, Length of Residence, Education, and Conjugal Condition), but the provided candidate table numbers (51, 52, 53) do not match this content.",google/gemini-3.1-flash-lite,0.000724,
1911_census_volume_ii_part_ii_birthplaces,115,114,output/diagnostics/flagged_pages/1911_census_volume_ii_part_ii_birthplaces/p0115_role_non_table_cand_55_54_56_match_unknown.png,non_table,55 | 54 | 56,,candidate_set_wrong,complete_on_page,,False,53 | 54 | 55 | 56 | 57 | 58 | 59 | 60 | 61 | 62 | 63 | 64 | 65 | 66 | 67 | 68 | 69 | 70 | 71 | 72 | 73 | 74 | 75,"STATE OF WESTERN AUSTRALIA Nationality, Length of Residence, Education, and Conjugal Condition",219,candidate_set_wrong,1,True,"The page contains a large table for Western Australia with rows numbered 1 through 75. The provided candidate table numbers (54, 55, 56) are insufficient to cover the data present on this page.",google/gemini-3.1-flash-lite,0.00094125,
1911_census_volume_ii_part_ii_birthplaces,121,120,output/diagnostics/flagged_pages/1911_census_volume_ii_part_ii_birthplaces/p0121_role_non_table_cand_58_57_59_match_unknown.png,non_table,58 | 57 | 59,,candidate_set_wrong,complete_on_page,,False,,"THE STATE OF TASMANIA Nationality, Length of Residence, Education, and Conjugal Condition",225,candidate_set_wrong,1,True,"The page contains a table for Tasmania (Birthplaces), but the provided candidate list (57, 58, 59) does not include the correct table number for this data. The printed page number is 225, not 121.",google/gemini-3.1-flash-lite,0.000752,
1911_census_volume_ii_part_ii_birthplaces,127,126,output/diagnostics/flagged_pages/1911_census_volume_ii_part_ii_birthplaces/p0127_role_non_table_cand_61_60_62_match_unknown.png,non_table,61 | 60 | 62,,candidate_set_wrong,complete_on_page,,False,,"THE NORTHERN TERRITORY Nationality, Length of Residence, Education, and Conjugal Condition",231,candidate_set_wrong,1,True,"The page contains a table for the Northern Territory, but the provided candidate table numbers (60, 61, 62) do not correspond to this table. The table is clearly present but lacks a table number in the header.",google/gemini-3.1-flash-lite,0.0007385,
