doc_id,pdf_page,page_index,image_path,original_page_role,candidate_table_numbers,original_matched_table_numbers,qa_decision,final_page_role,final_table_numbers,candidate_set_complete,visible_table_numbers,visible_title_snippet,printed_page,issue_type,confidence,needs_human_review,qa_notes,model,cost,error
1911_census_volume_ii_part_i_ages,1,0,output/diagnostics/flagged_pages/1911_census_volume_ii_part_i_ages/p0001_role_non_table_cand_2_1_3_match_unknown.png,non_table,2 | 1 | 3,,non_table_confirmed,non_table,,True,,CENSUS OF THE COMMONWEALTH OF AUSTRALIA,,none,1,False,"This is a title page for the census volume, not a data table.",google/gemini-3.1-flash-lite,0.00064725,
1911_census_volume_ii_part_i_ages,2,1,output/diagnostics/flagged_pages/1911_census_volume_ii_part_i_ages/p0002_role_non_table_cand_2_1_3_match_unknown.png,non_table,2 | 1 | 3,,non_table_confirmed,non_table,,True,,,,none,1.0,False,The page is blank.,google/gemini-3.1-flash-lite,0.00061875,
1911_census_volume_ii_part_i_ages,3,2,output/diagnostics/flagged_pages/1911_census_volume_ii_part_i_ages/p0003_role_contents_or_index_cand_2_1_3_match_unknown.png,contents_or_index,2 | 1 | 3,,contents_or_index_confirmed,contents_or_index,,True,,CONTENTS,3,none,1.0,False,This page is a table of contents for the volume. No data tables are present.,google/gemini-3.1-flash-lite,0.00064625,
1911_census_volume_ii_part_i_ages,4,3,output/diagnostics/flagged_pages/1911_census_volume_ii_part_i_ages/p0004_role_contents_or_index_cand_2_1_3_match_unknown.png,contents_or_index,2 | 1 | 3,,contents_or_index_confirmed,contents_or_index,,True,,CONTENTS—continued.,4,none,1,False,This page is a continuation of the table of contents. No data tables are present.,google/gemini-3.1-flash-lite,0.00064625,
1911_census_volume_ii_part_i_ages,6,5,output/diagnostics/flagged_pages/1911_census_volume_ii_part_i_ages/p0006_role_boundary_multiple_tables_cand_1_2_match_1_2.png,boundary_multiple_tables,1 | 2,1 | 2,boundary_confirmed,boundary_multiple_tables,1 | 2,True,1 | 2,1.—NUMBER OF MALES RECORDED AT EACH AGE—continued. | 2.—NUMBER OF FEMALES RECORDED AT EACH AGE IN EACH STATE AND TERRITORY,6,none,1,False,Page contains the continuation of Table 1 and the start of Table 2.,google/gemini-3.1-flash-lite,0.00073875,
1911_census_volume_ii_part_i_ages,8,7,output/diagnostics/flagged_pages/1911_census_volume_ii_part_i_ages/p0008_role_boundary_multiple_tables_cand_3_2_4_match_2_3.png,boundary_multiple_tables,3 | 2 | 4,2 | 3,boundary_confirmed,boundary_multiple_tables,2 | 3,True,2 | 3,2.—NUMBER OF FEMALES RECORDED AT EACH AGE—continued. 3.—NUMBER OF PERSONS RECORDED AT EACH AGE IN EACH STATE AND TERRITORY,8,none,1,False,The page contains the conclusion of Table 2 and the start of Table 3. Both are present in the candidate list.,google/gemini-3.1-flash-lite,0.00074925,
1911_census_volume_ii_part_i_ages,10,9,output/diagnostics/flagged_pages/1911_census_volume_ii_part_i_ages/p0010_role_boundary_multiple_tables_cand_4_3_5_match_3_4.png,boundary_multiple_tables,4 | 3 | 5,3 | 4,boundary_confirmed,boundary_multiple_tables,3 | 4,True,3 | 4,3.—NUMBER OF PERSONS RECORDED AT EACH AGE—continued. 4.—COMPARATIVE STATEMENT OF THE MALE POPULATION,10,none,1,False,The page contains the conclusion of Table 3 and the start of Table 4. Both are present in the candidate list.,google/gemini-3.1-flash-lite,0.00072,
1911_census_volume_ii_part_i_ages,13,12,output/diagnostics/flagged_pages/1911_census_volume_ii_part_i_ages/p0013_role_boundary_multiple_tables_cand_6_5_7_match_5_6.png,boundary_multiple_tables,6 | 5 | 7,5 | 6,boundary_confirmed,boundary_multiple_tables,5 | 6,True,5 | 6,5. COMPARATIVE STATEMENT OF FEMALE POPULATION—continued. | 6.—COMPARATIVE STATEMENT OF THE TOTAL POPULATION OF THE STATES OF THE COMMONWEALTH,13,none,1,False,The page contains the continuation of Table 5 and the start of Table 6. Both are present in the candidate list.,google/gemini-3.1-flash-lite,0.00075425,
1911_census_volume_ii_part_i_ages,17,16,output/diagnostics/flagged_pages/1911_census_volume_ii_part_i_ages/p0017_role_boundary_multiple_tables_cand_8_7_9_10_match_8_9.png,boundary_multiple_tables,8 | 7 | 9 | 10,8 | 9,boundary_confirmed,boundary_multiple_tables,8 | 9,True,8 | 9,COMPARATIVE STATEMENT SHEWING THE UNADJUSTED NUMBERS IN THE COMMONWEALTH IN QUINQUENNIAL AGE GROUPS; ADJUSTED NUMBER OF MALES AT EACH AGE IN EACH STATE AND TERRITORY,17,none,1,False,Page contains two distinct tables (8 and 9) as identified by the original match.,google/gemini-3.1-flash-lite,0.0007395,
1911_census_volume_ii_part_i_ages,20,19,output/diagnostics/flagged_pages/1911_census_volume_ii_part_i_ages/p0020_role_boundary_multiple_tables_cand_11_10_12_match_10_11.png,boundary_multiple_tables,11 | 10 | 12,10 | 11,boundary_confirmed,boundary_multiple_tables,10 | 11,True,10 | 11,10.—ADJUSTED NUMBER OF FEMALES AT EACH AGE—continued. 11.—ADJUSTED NUMBER OF PERSONS AT EACH AGE IN EACH STATE AND TERRITORY,20,none,1,False,Page contains the continuation of Table 10 and the start of Table 11. Both are present in the candidate list.,google/gemini-3.1-flash-lite,0.000767,
