doc_id,file_name,local_path,page_count,page_index,pdf_page,candidate_table_numbers,matched_table_numbers,candidate_count,matched_count,printed_page,page_role,visible_titles,visible_subentry,visible_section,contains_multiple_tables,contains_table_header,contains_table_body,confidence,warnings,candidate_mismatch,error
1911_census_volume_ii_part_i_ages,1911 Census - Volume II - Part I Ages.pdf,data\raw\abs_1911_census\1911 Census - Volume II - Part I Ages.pdf,104,0,1,2 | 1 | 3,,3,0,,non_table,,,,False,False,False,1,,False,
1911_census_volume_ii_part_i_ages,1911 Census - Volume II - Part I Ages.pdf,data\raw\abs_1911_census\1911 Census - Volume II - Part I Ages.pdf,104,1,2,2 | 1 | 3,,3,0,,non_table,,,,False,False,False,1,,False,
1911_census_volume_ii_part_i_ages,1911 Census - Volume II - Part I Ages.pdf,data\raw\abs_1911_census\1911 Census - Volume II - Part I Ages.pdf,104,2,3,2 | 1 | 3,,3,0,3,contents_or_index,,,,False,False,False,1,,False,
1911_census_volume_ii_part_i_ages,1911 Census - Volume II - Part I Ages.pdf,data\raw\abs_1911_census\1911 Census - Volume II - Part I Ages.pdf,104,3,4,2 | 1 | 3,,3,0,4,contents_or_index,,,CONTENTS—continued,False,False,False,1,,False,
1911_census_volume_ii_part_i_ages,1911 Census - Volume II - Part I Ages.pdf,data\raw\abs_1911_census\1911 Census - Volume II - Part I Ages.pdf,104,5,6,1 | 2,1 | 2,2,2,6,boundary_multiple_tables,"1.—NUMBER OF MALES RECORDED AT EACH AGE—continued. | 2.—NUMBER OF FEMALES RECORDED AT EACH AGE IN EACH STATE AND TERRITORY at the Census of 3rd April, 1911 (Exclusive of Full-blooded Aboriginals).",,,True,True,True,1,,False,
1911_census_volume_ii_part_i_ages,1911 Census - Volume II - Part I Ages.pdf,data\raw\abs_1911_census\1911 Census - Volume II - Part I Ages.pdf,104,7,8,3 | 2 | 4,2 | 3,3,2,8,boundary_multiple_tables,"2.—NUMBER OF FEMALES RECORDED AT EACH AGE—continued. | 3.—NUMBER OF PERSONS RECORDED AT EACH AGE IN EACH STATE AND TERRITORY at the Census of 3rd April, 1911",,,True,True,True,1,,False,
1911_census_volume_ii_part_i_ages,1911 Census - Volume II - Part I Ages.pdf,data\raw\abs_1911_census\1911 Census - Volume II - Part I Ages.pdf,104,9,10,4 | 3 | 5,3 | 4,3,2,10,boundary_multiple_tables,"3.—NUMBER OF PERSONS RECORDED AT EACH AGE—continued. | 4.—COMPARATIVE STATEMENT OF THE MALE POPULATION OF THE STATES OF THE COMMONWEALTH AS RECORDED at the Censuses of 1901 and 1911, Classified in Quinquennial Age Groups",,,True,True,True,1,,False,
1911_census_volume_ii_part_i_ages,1911 Census - Volume II - Part I Ages.pdf,data\raw\abs_1911_census\1911 Census - Volume II - Part I Ages.pdf,104,12,13,6 | 5 | 7,5 | 6,3,2,13,boundary_multiple_tables,"5. COMPARATIVE STATEMENT OF FEMALE POPULATION—continued. | 6.—COMPARATIVE STATEMENT OF THE TOTAL POPULATION OF THE STATES OF THE COMMONWEALTH AS RECORDED at the Censuses of 1901 and 1911, Classified in Quinquennial Age Groups",,,True,True,True,1,,False,
1911_census_volume_ii_part_i_ages,1911 Census - Volume II - Part I Ages.pdf,data\raw\abs_1911_census\1911 Census - Volume II - Part I Ages.pdf,104,16,17,8 | 7 | 9 | 10,8 | 9,4,2,17,boundary_multiple_tables,"Comparative Statement, shewing the Unadjusted Numbers in the Commonwealth in Quinquennial Age Groups, at the Censuses of 1881, 1891, 1901, and 1911 | Adjusted Number of Males at each Age in each State and Territory, at the Census of 3rd April, 1911",,,True,True,True,1,,False,
1911_census_volume_ii_part_i_ages,1911 Census - Volume II - Part I Ages.pdf,data\raw\abs_1911_census\1911 Census - Volume II - Part I Ages.pdf,104,19,20,11 | 10 | 12,10 | 11,3,2,20,boundary_multiple_tables,"10.—ADJUSTED NUMBER OF FEMALES AT EACH AGE—continued. | 11.—ADJUSTED NUMBER OF PERSONS AT EACH AGE IN EACH STATE AND TERRITORY at the Census of 3rd April, 1911",,,True,True,True,1,,False,
1911_census_volume_ii_part_i_ages,1911 Census - Volume II - Part I Ages.pdf,data\raw\abs_1911_census\1911 Census - Volume II - Part I Ages.pdf,104,21,22,12 | 11 | 13,11 | 12,3,2,22,boundary_multiple_tables,"Adjusted Number of Persons at each Age in each State and Territory, at the Census of 3rd April, 1911 | Adjusted Number of Males at and above each Age in each State and Territory, at the Census of 3rd April, 1911",,,True,True,True,1,,False,
1911_census_volume_ii_part_i_ages,1911 Census - Volume II - Part I Ages.pdf,data\raw\abs_1911_census\1911 Census - Volume II - Part I Ages.pdf,104,24,25,14 | 13 | 15,13 | 14,3,2,25,boundary_multiple_tables,"Adjusted Number of Females at and above each Age in each State and Territory, at the Census of 3rd April, 1911 | Adjusted Number of Persons at and above each Age in each State and Territory, at the Census of 3rd April, 1911",,,True,True,True,1,,False,
1911_census_volume_ii_part_i_ages,1911 Census - Volume II - Part I Ages.pdf,data\raw\abs_1911_census\1911 Census - Volume II - Part I Ages.pdf,104,26,27,15 | 14 | 16,14 | 15,3,2,27,boundary_multiple_tables,"Adjusted Number of Persons at and above each Age in each State and Territory, at the Census of 3rd April, 1911 | Adjusted Number of Males below each Age in each State and Territory, at the Census of 3rd April, 1911",,,True,True,True,1,,False,
