doc_id,file_name,local_path,page_count,page_index,pdf_page,candidate_table_numbers,matched_table_numbers,candidate_count,matched_count,printed_page,page_role,visible_titles,visible_subentry,visible_section,contains_multiple_tables,contains_table_header,contains_table_body,confidence,warnings,candidate_mismatch,error
1911_census_volume_ii_part_i_ages,1911 Census - Volume II - Part I Ages.pdf,data\raw\abs_1911_census\1911 Census - Volume II - Part I Ages.pdf,104,0,1,2,,1,0,,non_table,,,,False,False,False,1,,False,
1911_census_volume_ii_part_i_ages,1911 Census - Volume II - Part I Ages.pdf,data\raw\abs_1911_census\1911 Census - Volume II - Part I Ages.pdf,104,1,2,2,,1,0,,non_table,,,,False,False,False,1,The provided page is blank.,False,
1911_census_volume_ii_part_i_ages,1911 Census - Volume II - Part I Ages.pdf,data\raw\abs_1911_census\1911 Census - Volume II - Part I Ages.pdf,104,2,3,2,,1,0,3,contents_or_index,,,CONTENTS,False,False,False,1,,False,
1911_census_volume_ii_part_i_ages,1911 Census - Volume II - Part I Ages.pdf,data\raw\abs_1911_census\1911 Census - Volume II - Part I Ages.pdf,104,3,4,2,,1,0,4,contents_or_index,,,CONTENTS—continued.,False,False,False,1,,False,
1911_census_volume_ii_part_i_ages,1911 Census - Volume II - Part I Ages.pdf,data\raw\abs_1911_census\1911 Census - Volume II - Part I Ages.pdf,104,4,5,1,1,1,1,5,continues,"1—NUMBER OF MALES RECORDED AT EACH AGE IN EACH STATE AND TERRITORY at the Census of 3rd April, 1911 (Exclusive of Full-blooded Aboriginals).",,,False,True,True,1,,False,
1911_census_volume_ii_part_i_ages,1911 Census - Volume II - Part I Ages.pdf,data\raw\abs_1911_census\1911 Census - Volume II - Part I Ages.pdf,104,5,6,1,1,1,1,6,boundary_multiple_tables,"1.—NUMBER OF MALES RECORDED AT EACH AGE—continued. | 2.—NUMBER OF FEMALES RECORDED AT EACH AGE IN EACH STATE AND TERRITORY at the Census of 3rd April, 1911 (Exclusive of Full-blooded Aboriginals).",,,True,True,True,1,Table 2 is visible on this page but was not provided in the candidate list.,False,
1911_census_volume_ii_part_i_ages,1911 Census - Volume II - Part I Ages.pdf,data\raw\abs_1911_census\1911 Census - Volume II - Part I Ages.pdf,104,6,7,1,,1,0,7,non_table,2.—NUMBER OF FEMALES RECORDED AT EACH AGE—continued.,,,False,True,True,1,"The visible table is Table 2, which is not in the provided candidate list.",False,
1911_census_volume_ii_part_i_ages,1911 Census - Volume II - Part I Ages.pdf,data\raw\abs_1911_census\1911 Census - Volume II - Part I Ages.pdf,104,7,8,3,3,1,1,8,starts,"3.—NUMBER OF PERSONS RECORDED AT EACH AGE IN EACH STATE AND TERRITORY at the Census of 3rd April, 1911",,,False,True,True,1,,False,
1911_census_volume_ii_part_i_ages,1911 Census - Volume II - Part I Ages.pdf,data\raw\abs_1911_census\1911 Census - Volume II - Part I Ages.pdf,104,8,9,3,3,1,1,9,continues,3.—NUMBER OF PERSONS RECORDED AT EACH AGE—continued.,,,False,True,True,1,,False,
1911_census_volume_ii_part_i_ages,1911 Census - Volume II - Part I Ages.pdf,data\raw\abs_1911_census\1911 Census - Volume II - Part I Ages.pdf,104,9,10,4,4,1,1,10,continues,"Comparative Statement of the Male Population of the States of the Commonwealth, as recorded at the Censuses of 1901 and 1911, classified in Quinquennial Age Groups",,,True,True,True,1,Page contains the end of Table 3 and the start of Table 4. Table 3 was not provided in the candidate list.,False,
