doc_id,pdf_page,decision,table_numbers,notes,updated_at,confirmed_page_title,confirmation_source
1911_census_volume_iii_part_xiii_dwellings,57,correct_match,31,,2026-09-22T04:56:41+00:00,,Manual QA dashboard; 2026-09-22T04:56:41+00:00
1911_census_volume_iii_part_xiii_dwellings,186,correct_match,69,"Area, pop, density, dwellings by LGA",2026-09-22T04:57:01+00:00,"69 - Area, Population, Density, Occupied Dwellings, Etc. In Each Local Government Area - continued",Manual QA dashboard; 2026-09-22T04:57:01+00:00; explicit user title confirmation 2026-09-22
1911_census_volume_iii_part_xii_occupations,363,correct_match,35,female population,2026-09-22T04:57:16+00:00,,Manual QA dashboard; 2026-09-22T04:57:16+00:00
1911_census_volume_iii_part_xii_occupations,411,correct_match,51,,2026-09-22T04:57:20+00:00,,Manual QA dashboard; 2026-09-22T04:57:20+00:00
1911_census_volume_iii_part_xii_occupations,423,correct_match,57,,2026-09-22T04:57:24+00:00,,Manual QA dashboard; 2026-09-22T04:57:24+00:00
1911_census_volume_iii_part_xii_occupations,429,correct_match,60,,2026-09-22T04:57:26+00:00,,Manual QA dashboard; 2026-09-22T04:57:26+00:00
1911_census_volume_iii_part_xii_occupations,431,correct_match,61,,2026-09-22T04:57:29+00:00,,Manual QA dashboard; 2026-09-22T04:57:29+00:00
1911_census_volume_iii_part_xii_occupations,435,correct_match,63,,2026-09-22T04:57:34+00:00,,Manual QA dashboard; 2026-09-22T04:57:34+00:00
1911_census_volume_iii_part_xiv_summary,33,correct_match,27,,2026-09-22T05:33:43+00:00,,Completed mapping review; explore/output/2026-09-20_census-qa-dashboard/mapping_review_decisions.csv; 2026-09-22T05:33:43+00:00
1911_census_volume_iii_part_xiv_summary,167,correct_match,137,,2026-09-22T05:33:46+00:00,,Completed mapping review; explore/output/2026-09-20_census-qa-dashboard/mapping_review_decisions.csv; 2026-09-22T05:33:46+00:00
1911_census_volume_ii_part_i_ages,60,correct_match,33 | 34,,2026-09-22T05:33:56+00:00,,Completed mapping review; explore/output/2026-09-20_census-qa-dashboard/mapping_review_decisions.csv; 2026-09-22T05:33:56+00:00
1911_census_volume_ii_part_i_ages,61,correct_match,33,,2026-09-22T05:34:06+00:00,,Completed mapping review; explore/output/2026-09-20_census-qa-dashboard/mapping_review_decisions.csv; 2026-09-22T05:34:06+00:00
1911_census_volume_ii_part_i_ages,62,correct_match,34 | 35,,2026-09-22T05:34:11+00:00,,Completed mapping review; explore/output/2026-09-20_census-qa-dashboard/mapping_review_decisions.csv; 2026-09-22T05:34:11+00:00
1911_census_volume_ii_part_ii_birthplaces,154,correct_match,75,,2026-09-22T05:34:15+00:00,,Completed mapping review; explore/output/2026-09-20_census-qa-dashboard/mapping_review_decisions.csv; 2026-09-22T05:34:15+00:00
1911_census_volume_ii_part_ii_birthplaces,155,correct_match,75,,2026-09-22T05:34:23+00:00,,Completed mapping review; explore/output/2026-09-20_census-qa-dashboard/mapping_review_decisions.csv; 2026-09-22T05:34:23+00:00
1911_census_volume_ii_part_ii_birthplaces,156,correct_match,76,,2026-09-22T05:34:29+00:00,,Completed mapping review; explore/output/2026-09-20_census-qa-dashboard/mapping_review_decisions.csv; 2026-09-22T05:34:29+00:00
1911_census_volume_ii_part_ii_birthplaces,157,correct_match,76,,2026-09-22T05:34:35+00:00,,Completed mapping review; explore/output/2026-09-20_census-qa-dashboard/mapping_review_decisions.csv; 2026-09-22T05:34:35+00:00
1911_census_volume_ii_part_iii_length_of_residence,19,correct_match,6,,2026-09-22T05:34:38+00:00,,Completed mapping review; explore/output/2026-09-20_census-qa-dashboard/mapping_review_decisions.csv; 2026-09-22T05:34:38+00:00
1911_census_volume_ii_part_iii_length_of_residence,20,correct_match,6 | 7,,2026-09-22T05:34:46+00:00,,Completed mapping review; explore/output/2026-09-20_census-qa-dashboard/mapping_review_decisions.csv; 2026-09-22T05:34:46+00:00
1911_census_volume_ii_part_iii_length_of_residence,21,correct_match,6 | 7,,2026-09-22T05:35:01+00:00,,Completed mapping review; explore/output/2026-09-20_census-qa-dashboard/mapping_review_decisions.csv; 2026-09-22T05:35:01+00:00
1911_census_volume_ii_part_iii_length_of_residence,25,correct_match,8,,2026-09-22T05:35:06+00:00,,Completed mapping review; explore/output/2026-09-20_census-qa-dashboard/mapping_review_decisions.csv; 2026-09-22T05:35:06+00:00
1911_census_volume_ii_part_iii_length_of_residence,26,correct_match,8 | 9,,2026-09-22T05:35:16+00:00,,Completed mapping review; explore/output/2026-09-20_census-qa-dashboard/mapping_review_decisions.csv; 2026-09-22T05:35:16+00:00
1911_census_volume_ii_part_iii_length_of_residence,27,correct_match,8 | 9,,2026-09-22T05:35:23+00:00,,Completed mapping review; explore/output/2026-09-20_census-qa-dashboard/mapping_review_decisions.csv; 2026-09-22T05:35:23+00:00
1911_census_volume_ii_part_vi_religions,94,correct_match,38 | 39,,2026-09-22T05:35:27+00:00,,Completed mapping review; explore/output/2026-09-20_census-qa-dashboard/mapping_review_decisions.csv; 2026-09-22T05:35:27+00:00
1911_census_volume_ii_part_vi_religions,95,correct_match,38 | 39,,2026-09-22T05:35:37+00:00,,Completed mapping review; explore/output/2026-09-20_census-qa-dashboard/mapping_review_decisions.csv; 2026-09-22T05:35:37+00:00
1911_census_volume_ii_part_vi_religions,96,correct_match,39 | 40,,2026-09-22T05:35:40+00:00,,Completed mapping review; explore/output/2026-09-20_census-qa-dashboard/mapping_review_decisions.csv; 2026-09-22T05:35:40+00:00
