table_number,index_start_printed_page,index_expected_page_index,gemini31_start_page_index,gemini31_end_page_index,page_index_delta,status,index_title,gemini31_titles,gemini31_subjects
1,1853,4,4,4,0,start_matches_index,"Dwellings Occupied, Unoccupied and Being Built in the several States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911","Dwellings occupied, unoccupied and being built in the several States and Territories of the Commonwealth of Australia",Dwellings
2,1853,4,4,4,0,start_matches_index,"Metropolitan and Extra-Metropolitan Area, Population, Density, etc., in the several States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911","Metropolitan and extra-metropolitan area, population, density, etc., of the several States and Territories of the Commonwealth",Population and Dwellings
3,1854,5,5,5,0,start_matches_index,"Occupied Dwellings in the several States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Nature of Dwelling",Occupied Dwellings in the Several States and Territories of the Commonwealth of Australia,Nature of Dwelling
4,1854,5,5,6,0,start_matches_index,"Occupied Dwellings in the several States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Number of Rooms",Occupied Dwellings in the Several States and Territories of the Commonwealth of Australia | Occupied dwellings in the several states and territories,Number of Rooms | Dwellings other than private
5,1856,7,7,7,0,start_matches_index,"Occupied Dwellings of 20 rooms and upwards in the several States and Territories of the Commonwealth of Australia at the Census of 3rd April, 1911",Occupied dwellings of 20 rooms and upwards in the several states and territories of the Commonwealth of Australia,Number of rooms in occupied dwellings
6,1857,8,8,8,0,start_matches_index,"Occupied Dwellings in the several States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Materials of which outer walls were built",OCCUPIED DWELLINGS IN THE SEVERAL STATES AND TERRITORIES OF THE COMMONWEALTH OF AUSTRALIA,Materials of which outer walls were built
7,1858,9,9,11,0,start_matches_index,"Occupied Dwellings in the several States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Weekly Rental Value",OCCUPIED DWELLINGS IN THE SEVERAL STATES AND TERRITORIES OF THE COMMONWEALTH OF AUSTRALIA | Occupied dwellings in the several states and territories of the Commonwealth of Australia | OCCUPIED DWELLINGS IN THE SEVERAL STATES AND TERRITORIES OF THE COMMONWEALTH,Private dwellings classified according to weekly rental value | Weekly rental value of dwellings other than private | Weekly Rental Value of Occupied Dwellings
8,1861,12,12,13,0,start_matches_index,"Inmates of Dwellings (classified according to Number of Rooms) in the several States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911",INMATES OF DWELLINGS (CLASSIFIED ACCORDING TO NUMBER OF ROOMS) IN THE SEVERAL STATES AND TERRITORIES OF THE COMMONWEALTH OF AUSTRALIA | INMATES OF DWELLINGS IN THE SEVERAL STATES AND TERRITORIES,Inmates of private dwellings by number of rooms | Inmates of dwellings by number of rooms
9,1862,13,13,14,0,start_matches_index,"Inmates of Dwellings (classified according to Materials of which outer walls were built) in the several States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911",INMATES OF DWELLINGS CLASSIFIED ACCORDING TO MATERIALS OF WHICH OUTER WALLS WERE BUILT IN THE SEVERAL STATES AND TERRITORIES OF THE COMMONWEALTH OF AUSTRALIA | INMATES OF DWELLINGS IN THE SEVERAL STATES AND TERRITORIES,Inmates of private dwellings by material of outer walls | Inmates of dwellings other than private by material of outer walls
10,1864,15,15,15,0,start_matches_index,"Occupied Dwellings in the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Nature of Dwelling and Number of Rooms",OCCUPIED DWELLINGS IN THE,Number of dwellings containing rooms to the number of 1 to 11
