doc_id,file_name,table_number,table_title,subentry_index,subentry_label,subentry_printed_page,subentry_page_index_estimate
1911_census_volume_iii_detailed_tables_index_parts_ix_xiv,1911 Census - Volume III Detailed Tables Index Parts IX - XIV.pdf,INDEX,INDEX TO VOLUMES II. AND III.,1,Pages 2293 to 2296,2293,
1911_census_volume_iii_detailed_tables_index_parts_ix_xiv,1911 Census - Volume III Detailed Tables Index Parts IX - XIV.pdf,IX,CONJUGAL CONDITION,1,Pages 1075 to 1101,1075,
1911_census_volume_iii_detailed_tables_index_parts_ix_xiv,1911 Census - Volume III Detailed Tables Index Parts IX - XIV.pdf,X,FAMILIES,1,Pages 1103 to 1205,1103,
1911_census_volume_iii_detailed_tables_index_parts_ix_xiv,1911 Census - Volume III Detailed Tables Index Parts IX - XIV.pdf,XI,LIFE TABLES,1,Pages 1207 to 1278,1207,
1911_census_volume_iii_detailed_tables_index_parts_ix_xiv,1911 Census - Volume III Detailed Tables Index Parts IX - XIV.pdf,XII,OCCUPATIONS,1,Pages 1279 to 1848,1279,
1911_census_volume_iii_detailed_tables_index_parts_ix_xiv,1911 Census - Volume III Detailed Tables Index Parts IX - XIV.pdf,XIII,DWELLINGS,1,Pages 1849 to 2047,1849,
1911_census_volume_iii_detailed_tables_index_parts_ix_xiv,1911 Census - Volume III Detailed Tables Index Parts IX - XIV.pdf,XIV,SUMMARY,1,Pages 2049 to 2292,2049,
1911_census_volume_iii_part_x_families,1911 Census - Volume III - Part X Families.pdf,4,"Relative Ages of Husbands and Wives in the States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911",1,I.—New South Wales,1112,9
1911_census_volume_iii_part_x_families,1911 Census - Volume III - Part X Families.pdf,4,"Relative Ages of Husbands and Wives in the States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911",2,II.—Victoria,1112,9
1911_census_volume_iii_part_x_families,1911 Census - Volume III - Part X Families.pdf,4,"Relative Ages of Husbands and Wives in the States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911",3,III.—Queensland,1114,11
1911_census_volume_iii_part_x_families,1911 Census - Volume III - Part X Families.pdf,4,"Relative Ages of Husbands and Wives in the States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911",4,IV.—South Australia,1114,11
1911_census_volume_iii_part_x_families,1911 Census - Volume III - Part X Families.pdf,4,"Relative Ages of Husbands and Wives in the States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911",5,V.—Western Australia,1116,13
1911_census_volume_iii_part_x_families,1911 Census - Volume III - Part X Families.pdf,4,"Relative Ages of Husbands and Wives in the States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911",6,VI.—Tasmania,1116,13
1911_census_volume_iii_part_x_families,1911 Census - Volume III - Part X Families.pdf,4,"Relative Ages of Husbands and Wives in the States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911",7,VII.—Northern Territory,1118,15
