doc_id,file_name,title,local_path,page_count,contents_page_indexes,printed_page_offset,model,table_count,numeric_table_count,numeric_table_min,numeric_table_max,missing_numeric_table_numbers,non_numeric_table_numbers,subentry_count,is_table_index_document,doc_warnings,cost,error,needs_review
1911_census_index_to_volumes_ii_and_iii,1911 Census - Index to Volumes II and III.pdf,2112.0 - Index to Volumes II and III,data\raw\abs_1911_census\1911 Census - Index to Volumes II and III.pdf,4,0 | 1 | 2 | 3,2293,google/gemini-3.5-flash,0,0,,,,,0,True,"This document is an alphabetical subject index to Volumes II and III of the 1911 Census, rather than a list of numbered tables. Individual tables are not numbered in this index.",0.008025,,False
1911_census_volume_ii_part_i_ages,1911 Census - Volume II - Part I Ages.pdf,2112.0 - Volume II - Part I Ages,data\raw\abs_1911_census\1911 Census - Volume II - Part I Ages.pdf,104,2 | 3,1,google/gemini-3.5-flash,72,72,1,72,,,0,True,,0.078354,,False
1911_census_volume_ii_part_ii_birthplaces,1911 Census - Volume II - Part II Birthplaces.pdf,2112.0 - Volume II - Part II Birthplaces,data\raw\abs_1911_census\1911 Census - Volume II - Part II Birthplaces.pdf,282,1 | 2 | 3,105,google/gemini-3.5-flash,103,103,1,103,,,0,True,,0.117615,,False
1911_census_volume_ii_part_iii_length_of_residence,1911 Census - Volume II - Part III Length of Residence.pdf,2112.0 - Volume II - Part III Length of Residence,data\raw\abs_1911_census\1911 Census - Volume II - Part III Length of Residence.pdf,54,2,387,google/gemini-3.5-flash,25,25,1,25,,,0,True,,0.030813,,False
1911_census_volume_ii_part_iv_education,1911 Census - Volume II - Part IV Education.pdf,2112.0 - Volume II - Part IV Education,data\raw\abs_1911_census\1911 Census - Volume II - Part IV Education.pdf,182,1,441,google/gemini-3.5-flash,33,33,1,33,,,0,True,,0.0442185,,False
1911_census_volume_ii_part_v_schooling,1911 Census - Volume II - Part V Schooling.pdf,2112.0 - Volume II - Part V Schooling,data\raw\abs_1911_census\1911 Census - Volume II - Part V Schooling.pdf,124,1,623,google/gemini-3.5-flash,33,33,1,33,,,0,True,,0.041163,,False
1911_census_volume_ii_part_vi_religions,1911 Census - Volume II - Part VI Religions.pdf,2112.0 - Volume II - Part VI Religions,data\raw\abs_1911_census\1911 Census - Volume II - Part VI Religions.pdf,119,2 | 3,747,google/gemini-3.5-flash,57,57,1,57,,,0,True,,0.066756,,False
1911_census_volume_ii_part_vii_blindness_and_deaf_mutism,1911 Census - Volume II - Part VII Blindness and Deaf Mutism.pdf,2112.0 - Volume II - Part VII Blindness and Deaf Mutism,data\raw\abs_1911_census\1911 Census - Volume II - Part VII Blindness and Deaf Mutism.pdf,32,1,865,google/gemini-3.5-flash,27,27,1,27,,,0,True,,0.0329205,,False
1911_census_volume_ii_part_viii_non_european_races,1911 Census - Volume II - Part VIII Non-European Races.pdf,2112.0 - Volume II - Part VIII Non-European Races,data\raw\abs_1911_census\1911 Census - Volume II - Part VIII Non-European Races.pdf,177,2 | 3 | 4 | 5,897,google/gemini-3.5-flash,114,114,1,114,,,0,True,,0.1419975,,False
1911_census_volume_ii_detailed_tables_index_parts_i_viii,1911 Census - Volume II Detailed Tables Index Parts I - VIII.pdf,2112.0 - Volume II - Detailed Tables Index - Parts I - VIII,data\raw\abs_1911_census\1911 Census - Volume II Detailed Tables Index Parts I - VIII.pdf,4,3,151,google/gemini-3.5-flash,0,0,,,,,0,True,"The provided page contains a high-level table of contents listing Parts I to XIV of Volumes II and III, but does not list individual numbered tables. Individual tables are not visible on this page.",0.0032715,,False
