doc_id,file_name,title,local_path,page_count,table_number,table_title,start_printed_page,start_page_index,end_page_index,page_span_count,page_indexes,start_pdf_page,end_pdf_page,next_table_number,next_table_start_page_index,next_later_start_page_index,topic,geography,part_or_section,subentry_count,span_flags,needs_review
1911_census_volume_ii_part_i_ages,1911 Census - Volume II - Part I Ages.pdf,2112.0 - Volume II - Part I Ages,data\raw\abs_1911_census\1911 Census - Volume II - Part I Ages.pdf,104,1,"Number of Males recorded at each Age in each State and Territory, at the Census of 3rd April, 1911",5,4,6,3,4 | 5 | 6,5,7,2,0,7,Ages,Australia,,0,next_numbered_table_starts_before_this_table,True
1911_census_volume_ii_part_i_ages,1911 Census - Volume II - Part I Ages.pdf,2112.0 - Volume II - Part I Ages,data\raw\abs_1911_census\1911 Census - Volume II - Part I Ages.pdf,104,8,"Comparative Statement, shewing the Unadjusted Numbers in the Commonwealth in Quinquennial Age Groups, at the Censuses of 1881, 1891, 1901, and 1911",17,16,17,2,16 | 17,17,18,9,16,18,Ages,Australia,,0,same_page_as_next_table_start,True
1911_census_volume_ii_part_i_ages,1911 Census - Volume II - Part I Ages.pdf,2112.0 - Volume II - Part I Ages,data\raw\abs_1911_census\1911 Census - Volume II - Part I Ages.pdf,104,9,"Adjusted Number of Males at each Age in each State and Territory, at the Census of 3rd April, 1911",17,16,17,2,16 | 17,17,18,10,18,18,Ages,Australia,,0,same_page_as_previous_table_start,True
1911_census_volume_ii_part_i_ages,1911 Census - Volume II - Part I Ages.pdf,2112.0 - Volume II - Part I Ages,data\raw\abs_1911_census\1911 Census - Volume II - Part I Ages.pdf,104,21,"Adjusted Numbers in the Commonwealth in Quinquennial Age Groups, at the Censuses of 1881, 1891, 1901, and 1911",37,36,36,1,36,37,37,22,36,37,Ages,Australia,,0,same_page_as_next_table_start,True
1911_census_volume_ii_part_i_ages,1911 Census - Volume II - Part I Ages.pdf,2112.0 - Volume II - Part I Ages,data\raw\abs_1911_census\1911 Census - Volume II - Part I Ages.pdf,104,22,"Adjusted Numbers of Males, Females, and Persons, in each Quinquennial Age Group per 100,000 of Male, Female, and Total Population, respectively, of the Commonwealth, at the Censuses of 1881, 1891, 1901, and 1911",37,36,36,1,36,37,37,23,37,37,Ages,Australia,,0,same_page_as_previous_table_start,True
1911_census_volume_ii_part_i_ages,1911 Census - Volume II - Part I Ages.pdf,2112.0 - Volume II - Part I Ages,data\raw\abs_1911_census\1911 Census - Volume II - Part I Ages.pdf,104,23,"Increases in the Commonwealth in each Quinquennial Age Group, as shewn by the Adjusted Numbers for the Censuses of 1881, 1891, 1901, and 1911",38,37,38,2,37 | 38,38,39,24,37,39,Ages,Australia,,0,same_page_as_next_table_start,True
1911_census_volume_ii_part_i_ages,1911 Census - Volume II - Part I Ages.pdf,2112.0 - Volume II - Part I Ages,data\raw\abs_1911_census\1911 Census - Volume II - Part I Ages.pdf,104,24,"Number of Males recorded at each Age in the Metropolis of each State, at the Census of 3rd April, 1911",38,37,38,2,37 | 38,38,39,25,39,39,Ages,Metropolitan,,0,same_page_as_previous_table_start,True
1911_census_volume_ii_part_i_ages,1911 Census - Volume II - Part I Ages.pdf,2112.0 - Volume II - Part I Ages,data\raw\abs_1911_census\1911 Census - Volume II - Part I Ages.pdf,104,31,"New South Wales.—Population of Commonwealth Electoral Divisions, as recorded at the Census of 3rd April, 1911",58,57,58,2,57 | 58,58,59,32,57,59,Ages,New South Wales,,0,same_page_as_next_table_start,True
1911_census_volume_ii_part_i_ages,1911 Census - Volume II - Part I Ages.pdf,2112.0 - Volume II - Part I Ages,data\raw\abs_1911_census\1911 Census - Volume II - Part I Ages.pdf,104,32,"New South Wales.—Population of State Electoral Districts, as recorded at the Census of 3rd April, 1911",58,57,58,2,57 | 58,58,59,33,59,59,Ages,New South Wales,,0,same_page_as_previous_table_start,True
1911_census_volume_ii_part_i_ages,1911 Census - Volume II - Part I Ages.pdf,2112.0 - Volume II - Part I Ages,data\raw\abs_1911_census\1911 Census - Volume II - Part I Ages.pdf,104,33,"Victoria.—Number of Males in Quinquennial Age Groups, as recorded in each County, at the Census of 3rd April, 1911",60,59,60,2,59 | 60,60,61,34,59,61,Ages,Victoria,,0,same_page_as_next_table_start,True
1911_census_volume_ii_part_i_ages,1911 Census - Volume II - Part I Ages.pdf,2112.0 - Volume II - Part I Ages,data\raw\abs_1911_census\1911 Census - Volume II - Part I Ages.pdf,104,34,"Victoria.—Number of Females in Quinquennial Age Groups, as recorded in each County, at the Census of 3rd April, 1911",60,59,60,2,59 | 60,60,61,35,61,61,Ages,Victoria,,0,same_page_as_previous_table_start,True
1911_census_volume_ii_part_i_ages,1911 Census - Volume II - Part I Ages.pdf,2112.0 - Volume II - Part I Ages,data\raw\abs_1911_census\1911 Census - Volume II - Part I Ages.pdf,104,37,"Victoria.—Population of Commonwealth Electoral Divisions, as recorded at the Census of 3rd April, 1911",65,64,64,1,64,65,65,38,64,65,Ages,Victoria,,0,same_page_as_next_table_start,True
1911_census_volume_ii_part_i_ages,1911 Census - Volume II - Part I Ages.pdf,2112.0 - Volume II - Part I Ages,data\raw\abs_1911_census\1911 Census - Volume II - Part I Ages.pdf,104,38,"Victoria.—Population of State Electoral Provinces, as recorded at the Census of 3rd April, 1911",65,64,64,1,64,65,65,39,65,65,Ages,Victoria,,0,same_page_as_previous_table_start,True
1911_census_volume_ii_part_i_ages,1911 Census - Volume II - Part I Ages.pdf,2112.0 - Volume II - Part I Ages,data\raw\abs_1911_census\1911 Census - Volume II - Part I Ages.pdf,104,44,"Queensland.—Population of Commonwealth Electoral Divisions, as recorded at the Census of 3rd April, 1911",74,73,74,2,73 | 74,74,75,45,73,75,Ages,Queensland,,0,same_page_as_next_table_start,True
1911_census_volume_ii_part_i_ages,1911 Census - Volume II - Part I Ages.pdf,2112.0 - Volume II - Part I Ages,data\raw\abs_1911_census\1911 Census - Volume II - Part I Ages.pdf,104,45,"Queensland.—Population of State Electoral Districts, as recorded at the Census of 3rd April, 1911",74,73,74,2,73 | 74,74,75,46,75,75,Ages,Queensland,,0,same_page_as_previous_table_start,True
1911_census_volume_ii_part_i_ages,1911 Census - Volume II - Part I Ages.pdf,2112.0 - Volume II - Part I Ages,data\raw\abs_1911_census\1911 Census - Volume II - Part I Ages.pdf,104,50,"South Australia.—Population of Commonwealth Electoral Divisions, as recorded at the Census of 3rd April, 1911",83,82,82,1,82,83,83,51,82,83,Ages,South Australia,,0,same_page_as_next_table_start,True
1911_census_volume_ii_part_i_ages,1911 Census - Volume II - Part I Ages.pdf,2112.0 - Volume II - Part I Ages,data\raw\abs_1911_census\1911 Census - Volume II - Part I Ages.pdf,104,51,"South Australia.—Population of Council Electoral Districts, as recorded at the Census of 3rd April, 1911",83,82,82,1,82,83,83,52,82,83,Ages,South Australia,,0,same_page_as_next_table_start | same_page_as_previous_table_start,True
1911_census_volume_ii_part_i_ages,1911 Census - Volume II - Part I Ages.pdf,2112.0 - Volume II - Part I Ages,data\raw\abs_1911_census\1911 Census - Volume II - Part I Ages.pdf,104,52,"South Australia.—Population of Assembly Electoral Districts, as recorded at the Census of 3rd April, 1911",83,82,82,1,82,83,83,53,83,83,Ages,South Australia,,0,same_page_as_previous_table_start,True
1911_census_volume_ii_part_i_ages,1911 Census - Volume II - Part I Ages.pdf,2112.0 - Volume II - Part I Ages,data\raw\abs_1911_census\1911 Census - Volume II - Part I Ages.pdf,104,53,"Western Australia.—Number of Males in Quinquennial Age Groups, as recorded in each Statistical District, at the Census of 3rd April, 1911",84,83,84,2,83 | 84,84,85,54,83,85,Ages,Western Australia,,0,same_page_as_next_table_start,True
1911_census_volume_ii_part_i_ages,1911 Census - Volume II - Part I Ages.pdf,2112.0 - Volume II - Part I Ages,data\raw\abs_1911_census\1911 Census - Volume II - Part I Ages.pdf,104,54,"Western Australia.—Number of Females in Quinquennial Age Groups, as recorded in each Statistical District, at the Census of 3rd April, 1911",84,83,84,2,83 | 84,84,85,55,85,85,Ages,Western Australia,,0,same_page_as_previous_table_start,True
1911_census_volume_ii_part_i_ages,1911 Census - Volume II - Part I Ages.pdf,2112.0 - Volume II - Part I Ages,data\raw\abs_1911_census\1911 Census - Volume II - Part I Ages.pdf,104,56,"Western Australia.—Number of Children in Single Ages under 5 years last birthday, recorded in each Statistical District, at the Census of 3rd April, 1911",88,87,87,1,87,88,88,57,87,88,Ages,Western Australia,,0,same_page_as_next_table_start,True
1911_census_volume_ii_part_i_ages,1911 Census - Volume II - Part I Ages.pdf,2112.0 - Volume II - Part I Ages,data\raw\abs_1911_census\1911 Census - Volume II - Part I Ages.pdf,104,57,"Western Australia.—Population of Commonwealth Electoral Divisions, as recorded at the Census of 3rd April, 1911",88,87,87,1,87,88,88,58,87,88,Ages,Western Australia,,0,same_page_as_next_table_start | same_page_as_previous_table_start,True
1911_census_volume_ii_part_i_ages,1911 Census - Volume II - Part I Ages.pdf,2112.0 - Volume II - Part I Ages,data\raw\abs_1911_census\1911 Census - Volume II - Part I Ages.pdf,104,58,"Western Australia.—Population of State Electoral Provinces, as recorded at the Census of 3rd April, 1911",88,87,87,1,87,88,88,59,88,88,Ages,Western Australia,,0,same_page_as_previous_table_start,True
