title,source_url,file_name,local_path,excluded,exclude_reason,status,bytes
2112.0 - Notes of the Commonwealth Statistician,https://www.abs.gov.au/AUSSTATS/free.nsf/log?openagent&1911 Census - Notes of the Commonwealth Statistician.pdf&2112.0&Publication&AA7CD73FF6E6374ACA2578390010304B&&1911&03.04.1911&Latest,1911 Census - Notes of the Commonwealth Statistician.pdf,data\raw\abs_1911_census\1911 Census - Notes of the Commonwealth Statistician.pdf,True,statistician notes/report,excluded,
2112.0 - Volume I - Statistician's Report,https://www.abs.gov.au/AUSSTATS/free.nsf/log?openagent&1911 Census - Volume I Statisticians Report.pdf&2112.0&Publication&A81792B5E5298F70CA25783900108ACB&&1911&03.04.1911&Latest,1911 Census - Volume I Statisticians Report.pdf,data\raw\abs_1911_census\1911 Census - Volume I Statisticians Report.pdf,True,statistician notes/report,excluded,
2112.0 - Volume II - Detailed Tables Index - Parts I - VIII,https://www.abs.gov.au/AUSSTATS/free.nsf/log?openagent&1911 Census - Volume II Detailed Tables Index Parts I - VIII.pdf&2112.0&Publication&064CE7CC353A1DAACA25783900111F2E&&1911&03.04.1911&Latest,1911 Census - Volume II Detailed Tables Index Parts I - VIII.pdf,data\raw\abs_1911_census\1911 Census - Volume II Detailed Tables Index Parts I - VIII.pdf,False,,downloaded,139083
2112.0 - Volume II - Part I Ages,https://www.abs.gov.au/AUSSTATS/free.nsf/log?openagent&1911 Census - Volume II - Part I Ages.pdf&2112.0&Publication&BA69C5C2354E7FD8CA257839001133D4&&1911&03.04.1911&Latest,1911 Census - Volume II - Part I Ages.pdf,data\raw\abs_1911_census\1911 Census - Volume II - Part I Ages.pdf,False,,downloaded,7596273
2112.0 - Volume II - Part II Birthplaces,https://www.abs.gov.au/AUSSTATS/free.nsf/log?openagent&1911 Census - Volume II - Part II Birthplaces.pdf&2112.0&Publication&0354DDBB061331F2CA2578390011E1AF&&1911&03.04.1911&Latest,1911 Census - Volume II - Part II Birthplaces.pdf,data\raw\abs_1911_census\1911 Census - Volume II - Part II Birthplaces.pdf,False,,downloaded,18495577
2112.0 - Volume II - Part III Length of Residence,https://www.abs.gov.au/AUSSTATS/free.nsf/log?openagent&1911 Census - Volume II - Part III Length of Residence.pdf&2112.0&Publication&6396E9486480E4FDCA2578390011FE75&&1911&03.04.1911&Latest,1911 Census - Volume II - Part III Length of Residence.pdf,data\raw\abs_1911_census\1911 Census - Volume II - Part III Length of Residence.pdf,False,,downloaded,2878055
2112.0 - Volume II - Part IV Education,https://www.abs.gov.au/AUSSTATS/free.nsf/log?openagent&1911 Census - Volume II - Part IV Education.pdf&2112.0&Publication&7A23661EC1823B87CA25783900125D23&&1911&03.04.1911&Latest,1911 Census - Volume II - Part IV Education.pdf,data\raw\abs_1911_census\1911 Census - Volume II - Part IV Education.pdf,False,,downloaded,9141740
2112.0 - Volume II - Part V Schooling,https://www.abs.gov.au/AUSSTATS/free.nsf/log?openagent&1911 Census - Volume II - Part V Schooling.pdf&2112.0&Publication&04A9F49F66580D1FCA2578390012E815&&1911&03.04.1911&Latest,1911 Census - Volume II - Part V Schooling.pdf,data\raw\abs_1911_census\1911 Census - Volume II - Part V Schooling.pdf,False,,downloaded,10576998
2112.0 - Volume II - Part VI Religions,https://www.abs.gov.au/AUSSTATS/free.nsf/log?openagent&1911 Census - Volume II - Part VI Religions.pdf&2112.0&Publication&B8982A23D75F18B6CA2578390013015D&&1911&03.04.1911&Latest,1911 Census - Volume II - Part VI Religions.pdf,data\raw\abs_1911_census\1911 Census - Volume II - Part VI Religions.pdf,False,,downloaded,5918693
2112.0 - Volume II - Part VII Blindness and Deaf Mutism,https://www.abs.gov.au/AUSSTATS/free.nsf/log?openagent&1911 Census - Volume II - Part VII Blindness and Deaf Mutism.pdf&2112.0&Publication&D4F2A48AEB507719CA25783900131134&&1911&03.04.1911&Latest,1911 Census - Volume II - Part VII Blindness and Deaf Mutism.pdf,data\raw\abs_1911_census\1911 Census - Volume II - Part VII Blindness and Deaf Mutism.pdf,False,,downloaded,1475929
