doc_id,pdf_page,decision,table_numbers,notes,updated_at
1911_census_volume_ii_part_ii_birthplaces,1,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:30:31+00:00
1911_census_volume_ii_part_ii_birthplaces,2,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:30:37+00:00
1911_census_volume_ii_part_ii_birthplaces,3,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:30:38+00:00
1911_census_volume_ii_part_ii_birthplaces,4,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:30:38+00:00
1911_census_volume_ii_part_iii_length_of_residence,1,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:30:42+00:00
1911_census_volume_ii_part_iii_length_of_residence,2,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:30:44+00:00
1911_census_volume_ii_part_iii_length_of_residence,3,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:30:45+00:00
1911_census_volume_ii_part_iv_education,1,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:30:47+00:00
1911_census_volume_ii_part_iv_education,2,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:30:48+00:00
1911_census_volume_ii_part_v_schooling,1,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:30:49+00:00
1911_census_volume_ii_part_v_schooling,2,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:30:50+00:00
1911_census_volume_ii_part_vi_religions,1,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:30:50+00:00
1911_census_volume_ii_part_vi_religions,2,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:30:51+00:00
1911_census_volume_ii_part_vi_religions,3,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:30:52+00:00
1911_census_volume_ii_part_vi_religions,4,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:30:57+00:00
1911_census_volume_ii_part_vii_blindness_and_deaf_mutism,1,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:30:57+00:00
1911_census_volume_ii_part_vii_blindness_and_deaf_mutism,2,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:30:59+00:00
1911_census_volume_ii_part_viii_non_european_races,1,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:31:00+00:00
1911_census_volume_ii_part_viii_non_european_races,2,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:31:01+00:00
1911_census_volume_ii_part_viii_non_european_races,3,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:31:01+00:00
1911_census_volume_ii_part_viii_non_european_races,4,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:31:02+00:00
1911_census_volume_ii_part_viii_non_european_races,5,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:31:03+00:00
1911_census_volume_ii_part_viii_non_european_races,6,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:31:03+00:00
1911_census_volume_iii_part_ix_conjugal_condition,1,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:31:04+00:00
1911_census_volume_iii_part_ix_conjugal_condition,2,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:31:04+00:00
1911_census_volume_iii_part_x_families,1,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:31:05+00:00
1911_census_volume_iii_part_x_families,2,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:31:05+00:00
1911_census_volume_iii_part_x_families,3,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:31:06+00:00
1911_census_volume_iii_part_xi_life_tables,1,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:31:06+00:00
1911_census_volume_iii_part_xi_life_tables,2,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:31:07+00:00
1911_census_volume_iii_part_xii_occupations,1,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:31:07+00:00
1911_census_volume_iii_part_xii_occupations,2,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:31:07+00:00
1911_census_volume_iii_part_xii_occupations,3,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:31:08+00:00
1911_census_volume_iii_part_xii_occupations,4,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:31:08+00:00
1911_census_volume_iii_part_xiii_dwellings,1,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:31:09+00:00
1911_census_volume_iii_part_xiii_dwellings,2,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:31:09+00:00
1911_census_volume_iii_part_xiii_dwellings,3,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:31:10+00:00
1911_census_volume_iii_part_xiii_dwellings,4,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:31:11+00:00
1911_census_volume_iii_part_xiv_summary,1,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:31:12+00:00
1911_census_volume_iii_part_xiv_summary,2,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:31:12+00:00
1911_census_volume_iii_part_xiv_summary,3,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:31:13+00:00
1911_census_volume_iii_part_xiv_summary,4,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:31:13+00:00
1911_census_volume_iii_part_xiv_summary,5,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:31:18+00:00
