doc_id,pdf_page,page_index,page_role,candidate_table_numbers,matched_table_numbers,visible_titles,warnings,image_path,review_decision,review_notes
1911_census_volume_ii_part_i_ages,1,0,non_table,2 | 1 | 3,,,,output/diagnostics/flagged_pages/1911_census_volume_ii_part_i_ages/p0001_role_non_table_cand_2_1_3_match_unknown.png,,
1911_census_volume_ii_part_i_ages,2,1,non_table,2 | 1 | 3,,,,output/diagnostics/flagged_pages/1911_census_volume_ii_part_i_ages/p0002_role_non_table_cand_2_1_3_match_unknown.png,,
1911_census_volume_ii_part_i_ages,3,2,contents_or_index,2 | 1 | 3,,,,output/diagnostics/flagged_pages/1911_census_volume_ii_part_i_ages/p0003_role_contents_or_index_cand_2_1_3_match_unknown.png,,
1911_census_volume_ii_part_i_ages,4,3,contents_or_index,2 | 1 | 3,,,,output/diagnostics/flagged_pages/1911_census_volume_ii_part_i_ages/p0004_role_contents_or_index_cand_2_1_3_match_unknown.png,,
1911_census_volume_ii_part_i_ages,6,5,boundary_multiple_tables,1 | 2,1 | 2,"1.—NUMBER OF MALES RECORDED AT EACH AGE—continued. | 2.—NUMBER OF FEMALES RECORDED AT EACH AGE IN EACH STATE AND TERRITORY at the Census of 3rd April, 1911 (Exclusive of Full-blooded Aboriginals).",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_i_ages/p0006_role_boundary_multiple_tables_cand_1_2_match_1_2.png,,
1911_census_volume_ii_part_i_ages,8,7,boundary_multiple_tables,3 | 2 | 4,2 | 3,"2.—NUMBER OF FEMALES RECORDED AT EACH AGE—continued. | 3.—NUMBER OF PERSONS RECORDED AT EACH AGE IN EACH STATE AND TERRITORY at the Census of 3rd April, 1911",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_i_ages/p0008_role_boundary_multiple_tables_cand_3_2_4_match_2_3.png,,
1911_census_volume_ii_part_i_ages,10,9,boundary_multiple_tables,4 | 3 | 5,3 | 4,"3.—NUMBER OF PERSONS RECORDED AT EACH AGE—continued. | 4.—COMPARATIVE STATEMENT OF THE MALE POPULATION OF THE STATES OF THE COMMONWEALTH AS RECORDED at the Censuses of 1901 and 1911, Classified in Quinquennial Age Groups",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_i_ages/p0010_role_boundary_multiple_tables_cand_4_3_5_match_3_4.png,,
1911_census_volume_ii_part_i_ages,13,12,boundary_multiple_tables,6 | 5 | 7,5 | 6,"5. COMPARATIVE STATEMENT OF FEMALE POPULATION—continued. | 6.—COMPARATIVE STATEMENT OF THE TOTAL POPULATION OF THE STATES OF THE COMMONWEALTH AS RECORDED at the Censuses of 1901 and 1911, Classified in Quinquennial Age Groups",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_i_ages/p0013_role_boundary_multiple_tables_cand_6_5_7_match_5_6.png,,
1911_census_volume_ii_part_i_ages,17,16,boundary_multiple_tables,8 | 7 | 9 | 10,8 | 9,"Comparative Statement, shewing the Unadjusted Numbers in the Commonwealth in Quinquennial Age Groups, at the Censuses of 1881, 1891, 1901, and 1911 | Adjusted Number of Males at each Age in each State and Territory, at the Census of 3rd April, 1911",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_i_ages/p0017_role_boundary_multiple_tables_cand_8_7_9_10_match_8_9.png,,
1911_census_volume_ii_part_i_ages,20,19,boundary_multiple_tables,11 | 10 | 12,10 | 11,"10.—ADJUSTED NUMBER OF FEMALES AT EACH AGE—continued. | 11.—ADJUSTED NUMBER OF PERSONS AT EACH AGE IN EACH STATE AND TERRITORY at the Census of 3rd April, 1911",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_i_ages/p0020_role_boundary_multiple_tables_cand_11_10_12_match_10_11.png,,
