source_pdf,source_pdf_sha256,source_page_index,source_pdf_page,source_printed_page,source_table_number_printed,source_row_y,source_image,source_row_number,source_lga_name,field,raw_value,automatic_value,corrected_value,evidence
data/raw/abs_1911_census/1911 Census - Volume III - Part XIII Dwellings.pdf,d2a7f6b00a4c9e31c09011e69b09315e47a59f0dadbf6dd275d05fc897cb5db6,182,183,2031,68,415.93,output/extract_table68/evidence/pdf_page_183.png,24,Bowral,dwellings_per_area,.no,0.no,0.110,Printed .110; OCR .no.
data/raw/abs_1911_census/1911 Census - Volume III - Part XIII Dwellings.pdf,d2a7f6b00a4c9e31c09011e69b09315e47a59f0dadbf6dd275d05fc897cb5db6,182,183,2031,68,440.16,output/extract_table68/evidence/pdf_page_183.png,26,Brewarrina,dwellings_per_area,.Oll,0.Oll,0.011,Printed .011; OCR .Oll.
data/raw/abs_1911_census/1911 Census - Volume III - Part XIII Dwellings.pdf,d2a7f6b00a4c9e31c09011e69b09315e47a59f0dadbf6dd275d05fc897cb5db6,182,183,2031,68,488.4,output/extract_table68/evidence/pdf_page_183.png,31,Cabramatta and Canley Vale,population_per_dwelling,"4,51",451,4.51,Printed 4.51; OCR decimal comma.
data/raw/abs_1911_census/1911 Census - Volume III - Part XIII Dwellings.pdf,d2a7f6b00a4c9e31c09011e69b09315e47a59f0dadbf6dd275d05fc897cb5db6,182,183,2031,68,640.56,output/extract_table68/evidence/pdf_page_183.png,47,Cowra,dwellings_per_area,.1l4,0.1l4,0.114,Printed .114; OCR letter l.
data/raw/abs_1911_census/1911 Census - Volume III - Part XIII Dwellings.pdf,d2a7f6b00a4c9e31c09011e69b09315e47a59f0dadbf6dd275d05fc897cb5db6,182,183,2031,68,744.89,output/extract_table68/evidence/pdf_page_183.png,58,Ermington and Rydalme~~,lga_name,Ermington and Rydalme~~,Ermington and Rydalme~~,Ermington and Rydalmere,Image supplies final name letters.
data/raw/abs_1911_census/1911 Census - Volume III - Part XIII Dwellings.pdf,d2a7f6b00a4c9e31c09011e69b09315e47a59f0dadbf6dd275d05fc897cb5db6,182,183,2031,68,784.81,output/extract_table68/evidence/pdf_page_183.png,62,Glebe,area,5!!1,5!!1,521,Printed 521; OCR 5!!1.
data/raw/abs_1911_census/1911 Census - Volume III - Part XIII Dwellings.pdf,d2a7f6b00a4c9e31c09011e69b09315e47a59f0dadbf6dd275d05fc897cb5db6,182,183,2031,68,792.97,output/extract_table68/evidence/pdf_page_183.png,63,Glen InllEls,lga_name,Glen InllEls,Glen InllEls,Glen Innes,Name transcribed from scan.
data/raw/abs_1911_census/1911 Census - Volume III - Part XIII Dwellings.pdf,d2a7f6b00a4c9e31c09011e69b09315e47a59f0dadbf6dd275d05fc897cb5db6,183,184,2032,68,187.76,output/extract_table68/evidence/pdf_page_184.png,1,"Grafton, South",males,1510,1510,610,Printed 610; OCR 1510.
data/raw/abs_1911_census/1911 Census - Volume III - Part XIII Dwellings.pdf,d2a7f6b00a4c9e31c09011e69b09315e47a59f0dadbf6dd275d05fc897cb5db6,183,184,2032,68,195.96,output/extract_table68/evidence/pdf_page_184.png,2,GranvilIe,lga_name,GranvilIe,GranvilIe,Granville,Name transcribed from scan.
data/raw/abs_1911_census/1911 Census - Volume III - Part XIII Dwellings.pdf,d2a7f6b00a4c9e31c09011e69b09315e47a59f0dadbf6dd275d05fc897cb5db6,183,184,2032,68,284.28,output/extract_table68/evidence/pdf_page_184.png,11,HilIston,lga_name,HilIston,HilIston,Hillston,Name transcribed from scan.
data/raw/abs_1911_census/1911 Census - Volume III - Part XIII Dwellings.pdf,d2a7f6b00a4c9e31c09011e69b09315e47a59f0dadbf6dd275d05fc897cb5db6,183,184,2032,68,396.6,output/extract_table68/evidence/pdf_page_184.png,23,Kempsey,population_per_dwelling,5.(14,5.(14,5.04,Printed 5.04; OCR 5.(14.
data/raw/abs_1911_census/1911 Census - Volume III - Part XIII Dwellings.pdf,d2a7f6b00a4c9e31c09011e69b09315e47a59f0dadbf6dd275d05fc897cb5db6,183,184,2032,68,428.48,output/extract_table68/evidence/pdf_page_184.png,27,"Lambton, New",females,891,891,894,Printed 894; OCR 891.
