source_page_index,source_pdf_page,source_row_number,source_row_y,source_lga_name,field,raw_value,automatic_value,final_value,image_corrected
182,183,1,199.44,Aberdeen,lga_name,Aberdeen,Aberdeen,Aberdeen,False
182,183,1,199.44,Aberdeen,area,"1,491",1491,1491,False
182,183,1,199.44,Aberdeen,males,379,379,379,False
182,183,1,199.44,Aberdeen,females,355,355,355,False
182,183,1,199.44,Aberdeen,persons,734,734,734,False
182,183,1,199.44,Aberdeen,persons_per_area,.49,0.49,0.49,False
182,183,1,199.44,Aberdeen,occupied_dwellings,142,142,142,False
182,183,1,199.44,Aberdeen,dwellings_per_area,.095,0.095,0.095,False
182,183,1,199.44,Aberdeen,population_per_dwelling,5.17,5.17,5.17,False
182,183,2,207.6,Adamstown,lga_name,Adamstown,Adamstown,Adamstown,False
182,183,2,207.6,Adamstown,area,973,973,973,False
182,183,2,207.6,Adamstown,males,"1,347",1347,1347,False
182,183,2,207.6,Adamstown,females,"1,313",1313,1313,False
182,183,2,207.6,Adamstown,persons,"2,660",2660,2660,False
182,183,2,207.6,Adamstown,persons_per_area,2.73,2.73,2.73,False
182,183,2,207.6,Adamstown,occupied_dwellings,597,597,597,False
182,183,2,207.6,Adamstown,dwellings_per_area,.614,0.614,0.614,False
182,183,2,207.6,Adamstown,population_per_dwelling,4.46,4.46,4.46,False
182,183,3,215.52,Albury,lga_name,Albury,Albury,Albury,False
182,183,3,215.52,Albury,area,"18,460",18460,18460,False
182,183,3,215.52,Albury,males,"3,052",3052,3052,False
182,183,3,215.52,Albury,females,"3,257",3257,3257,False
182,183,3,215.52,Albury,persons,"6,309",6309,6309,False
182,183,3,215.52,Albury,persons_per_area,.34,0.34,0.34,False
182,183,3,215.52,Albury,occupied_dwellings,"1,328",1328,1328,False
182,183,3,215.52,Albury,dwellings_per_area,.072,0.072,0.072,False
182,183,3,215.52,Albury,population_per_dwelling,4.75,4.75,4.75,False
182,183,4,223.44,Alexandria,lga_name,Alexandria,Alexandria,Alexandria,False
182,183,4,223.44,Alexandria,area,"1,024",1024,1024,False
182,183,4,223.44,Alexandria,males,"5,260",5260,5260,False
182,183,4,223.44,Alexandria,females,"4,863",4863,4863,False
182,183,4,223.44,Alexandria,persons,"10,123",10123,10123,False
182,183,4,223.44,Alexandria,persons_per_area,9.89,9.89,9.89,False
182,183,4,223.44,Alexandria,occupied_dwellings,"2,244",2244,2244,False
182,183,4,223.44,Alexandria,dwellings_per_area,2.191,2.191,2.191,False
182,183,4,223.44,Alexandria,population_per_dwelling,4.51,4.51,4.51,False
182,183,5,231.6,Annandale,lga_name,Annandale,Annandale,Annandale,False
182,183,5,231.6,Annandale,area,360,360,360,False
182,183,5,231.6,Annandale,males,"5,413",5413,5413,False
182,183,5,231.6,Annandale,females,"5,827",5827,5827,False
182,183,5,231.6,Annandale,persons,"11,240",11240,11240,False
182,183,5,231.6,Annandale,persons_per_area,31.22,31.22,31.22,False
182,183,5,231.6,Annandale,occupied_dwellings,"2,363",2363,2363,False
182,183,5,231.6,Annandale,dwellings_per_area,6.564,6.564,6.564,False
182,183,5,231.6,Annandale,population_per_dwelling,4.76,4.76,4.76,False
182,183,6,247.69,Armidale,lga_name,Armidale,Armidale,Armidale,False
182,183,6,247.69,Armidale,area,"2,080",2080,2080,False
182,183,6,247.69,Armidale,males,"2,290",2290,2290,False
182,183,6,247.69,Armidale,females,"2,448",2448,2448,False
182,183,6,247.69,Armidale,persons,"4,738",4738,4738,False
182,183,6,247.69,Armidale,persons_per_area,2.28,2.28,2.28,False
182,183,6,247.69,Armidale,occupied_dwellings,853,853,853,False
182,183,6,247.69,Armidale,dwellings_per_area,.410,0.410,0.410,False
182,183,6,247.69,Armidale,population_per_dwelling,5.55,5.55,5.55,False
182,183,7,255.6,Ashfield,lga_name,Ashfield,Ashfield,Ashfield,False
182,183,7,255.6,Ashfield,area,"2,081",2081,2081,False
182,183,7,255.6,Ashfield,males,"9,212",9212,9212,False
182,183,7,255.6,Ashfield,females,"11,219",11219,11219,False
182,183,7,255.6,Ashfield,persons,"20,431",20431,20431,False
182,183,7,255.6,Ashfield,persons_per_area,9.82,9.82,9.82,False
182,183,7,255.6,Ashfield,occupied_dwellings,"4,189",4189,4189,False
182,183,7,255.6,Ashfield,dwellings_per_area,2.013,2.013,2.013,False
182,183,7,255.6,Ashfield,population_per_dwelling,4.88,4.88,4.88,False
182,183,8,263.76,Auburn,lga_name,Auburn,Auburn,Auburn,False
182,183,8,263.76,Auburn,area,"2,688",2688,2688,False
182,183,8,263.76,Auburn,males,"2,757",2757,2757,False
182,183,8,263.76,Auburn,females,"2,802",2802,2802,False
182,183,8,263.76,Auburn,persons,"5,559",5559,5559,False
182,183,8,263.76,Auburn,persons_per_area,2.07,2.07,2.07,False
182,183,8,263.76,Auburn,occupied_dwellings,"1,161",1161,1161,False
182,183,8,263.76,Auburn,dwellings_per_area,.432,0.432,0.432,False
182,183,8,263.76,Auburn,population_per_dwelling,4.79,4.79,4.79,False
182,183,9,271.69,Ballina,lga_name,Ballina,Ballina,Ballina,False
182,183,9,271.69,Ballina,area,"5,760",5760,5760,False
182,183,9,271.69,Ballina,males,"1,022",1022,1022,False
182,183,9,271.69,Ballina,females,"1,039",1039,1039,False
182,183,9,271.69,Ballina,persons,"2,061",2061,2061,False
182,183,9,271.69,Ballina,persons_per_area,.36,0.36,0.36,False
182,183,9,271.69,Ballina,occupied_dwellings,402,402,402,False
182,183,9,271.69,Ballina,dwellings_per_area,.070,0.070,0.070,False
